sid,BUFF,NOT,AND,PI,PO,LP
5,10842,13343,11024,2339,2137,11
3,8301,15906,11035,2339,2137,11
8,10286,13707,10928,2339,2137,11
6,10272,13731,10933,2339,2137,11
11,11085,12930,10939,2339,2137,11
9,10789,13374,11013,2339,2137,11
13,9948,14265,11038,2339,2137,11
12,10277,13708,10924,2339,2137,11
15,10927,13148,10969,2339,2137,11
14,10134,14065,11031,2339,2137,11
17,9751,14454,11034,2339,2137,11
16,11102,12889,10927,2339,2137,11
19,10127,13862,10926,2339,2137,11
18,10270,13797,10965,2339,2137,11
21,9741,14456,11030,2339,2137,11
20,9742,14569,11087,2339,2137,11
23,10001,14192,11028,2339,2137,11
22,9784,14235,10941,2339,2137,11
25,10530,13493,10943,2339,2137,11
24,10267,13732,10931,2339,2137,10
27,10431,13588,10941,2339,2137,11
26,9678,14337,10939,2339,2137,11
29,9522,14657,11021,2339,2137,11
28,8299,15732,10947,2339,2137,11
31,9709,14280,10926,2339,2137,11
30,10511,13492,10933,2339,2137,11
33,10983,13038,10942,2339,2137,11
32,10537,13466,10933,2339,2137,11
35,11017,13240,11060,2339,2137,11
34,10376,13617,10928,2339,2137,11
37,9755,14478,11048,2339,2137,11
36,8427,15590,10940,2339,2137,11
39,10107,13890,10930,2339,2137,11
38,11052,13149,11032,2339,2137,11
41,11072,12909,10922,2339,2137,11
40,11078,12921,10931,2339,2137,11
43,9656,14373,10946,2339,2137,11
42,10968,13029,10930,2339,2137,11
45,8579,15636,11039,2339,2137,11
44,9859,14320,11021,2339,2137,11
47,10273,13720,10928,2339,2137,11
46,10923,13060,10923,2339,2137,11
49,9138,14873,10937,2339,2137,11
48,8995,15048,10953,2339,2137,11
51,8701,15564,11064,2339,2137,11
50,8814,15235,10956,2339,2137,11
53,8910,15113,10943,2339,2137,11
52,10479,13536,10939,2339,2137,11
55,10256,13737,10928,2339,2137,11
54,10916,13083,10931,2339,2137,11
57,10124,13861,10924,2339,2137,11
56,11027,13024,10957,2339,2137,11
59,8702,15545,11055,2339,2137,11
58,10145,13862,10935,2339,2137,11
61,10655,13590,11054,2339,2137,11
60,10976,13051,10945,2339,2137,11
63,11319,12884,11033,2339,2137,11
62,10034,14027,10962,2339,2137,11
65,10128,13853,10922,2339,2137,11
64,10032,14169,11032,2339,2137,11
67,9993,14210,11033,2339,2137,11
66,8993,15018,10937,2339,2137,11
69,9527,14674,11032,2339,2137,11
68,11100,12889,10926,2339,2137,10
71,10902,13091,10928,2339,2137,11
70,9676,14497,11018,2339,2137,11
73,8418,15825,11053,2339,2137,11
72,10909,13118,10945,2339,2137,11
75,9559,14694,11058,2339,2137,11
74,10237,13814,10957,2339,2137,11
77,11076,12911,10925,2339,2137,11
76,9825,14164,10926,2339,2137,11
79,11194,12809,10933,2339,2137,11
78,11171,12802,10918,2339,2137,11
81,8549,15678,11045,2339,2137,11
80,10738,13519,11060,2339,2137,11
83,10505,13520,10944,2339,2137,11
82,9815,14230,10954,2339,2137,11
85,8722,15465,11025,2339,2137,11
84,10548,13457,10934,2339,2137,11
87,10100,14097,11030,2339,2137,11
86,11149,13056,11034,2339,2137,11
89,11130,12869,10931,2339,2137,11
88,11078,13105,11023,2339,2137,11
91,9642,14365,10935,2339,2137,11
90,11104,12891,10929,2339,2137,11
93,9757,14476,11048,2339,2137,11
92,9763,14296,10961,2339,2137,11
95,9957,14210,11015,2339,2137,11
94,9746,14459,11034,2339,2137,11
97,9525,14672,11030,2339,2137,11
96,10146,14051,11030,2339,2137,11
99,8297,15698,10929,2339,2137,11
98,9674,14333,10935,2339,2137,11
101,8982,15023,10934,2339,2137,11
100,10111,14058,11016,2339,2137,11
103,10246,13783,10946,2339,2137,11
102,8700,15485,11024,2339,2137,11
105,10021,14338,11111,2339,2137,11
104,10252,13781,10948,2339,2137,11
107,10027,14224,11057,2339,2137,11
106,9101,14890,10927,2339,2137,10
109,10541,13514,10959,2339,2137,11
108,11092,12869,10912,2339,2137,11
111,9387,14792,11021,2339,2137,11
110,10932,13097,10946,2339,2137,11
113,9839,14156,10929,2339,2137,11
112,9773,14558,11097,2339,2137,11
115,9833,14166,10931,2339,2137,11
114,9074,14933,10935,2339,2137,11
117,11119,12906,10944,2339,2137,11
116,10449,13618,10965,2339,2137,11
119,11092,12915,10935,2339,2137,11
118,10072,13935,10935,2339,2137,11
121,9571,14408,10921,2339,2137,11
120,11101,13104,11034,2339,2137,11
123,10223,13948,11017,2339,2137,11
122,9641,14328,10916,2339,2137,11
125,9530,14687,11040,2339,2137,11
124,10256,13735,10927,2339,2137,10
127,9999,14176,11019,2339,2137,11
126,9660,14349,10936,2339,2137,11
129,9528,14651,11021,2339,2137,11
128,10345,13698,10953,2339,2137,11
131,10911,13080,10927,2339,2137,10
130,9656,14361,10940,2339,2137,11
133,9808,14179,10925,2339,2137,11
132,10152,13835,10925,2339,2137,11
135,11275,12984,11061,2339,2137,11
134,10447,13582,10946,2339,2137,11
137,11221,12788,10936,2339,2137,11
136,11060,12911,10917,2339,2137,11
139,10330,13885,11039,2339,2137,11
138,10962,13119,10972,2339,2137,11
141,8973,15006,10921,2339,2137,10
140,10529,13700,11046,2339,2137,11
143,9116,14897,10938,2339,2137,11
142,9055,15020,10969,2339,2137,11
145,9847,14364,11037,2339,2137,11
144,8809,15396,11034,2339,2137,11
147,9524,14729,11058,2339,2137,11
146,10190,13879,10966,2339,2137,11
149,9526,14679,11034,2339,2137,11
148,8159,16018,11020,2339,2137,11
151,10158,13827,10924,2339,2137,11
150,10918,13103,10942,2339,2137,11
153,9785,14224,10936,2339,2137,11
152,9113,14880,10928,2339,2137,11
155,10238,13973,11037,2339,2137,11
154,10210,13803,10938,2339,2137,11
157,11139,13070,11036,2339,2137,11
156,10528,13493,10942,2339,2137,11
159,9435,14754,11026,2339,2137,11
158,8938,15085,10943,2339,2137,11
161,9355,14812,11015,2339,2137,11
160,8531,15756,11075,2339,2137,11
163,10226,13997,11043,2339,2137,11
162,10395,13790,11024,2339,2137,11
165,9976,14185,11012,2339,2137,11
164,9798,14405,11033,2339,2137,11
167,10655,13608,11063,2339,2137,11
166,10112,13885,10930,2339,2137,10
169,10111,13870,10922,2339,2137,11
168,9830,14201,10947,2339,2137,11
170,10897,13160,10960,2339,2137,11
171,9786,14259,10954,2339,2137,11
172,10503,13516,10941,2339,2137,11
173,9416,14751,11015,2339,2137,11
174,11102,12895,10930,2339,2137,11
175,10217,13794,10937,2339,2137,11
176,10922,13061,10923,2339,2137,11
177,9780,14239,10941,2339,2137,11
178,10314,13729,10953,2339,2137,11
179,9785,14224,10936,2339,2137,11
180,10078,13933,10937,2339,2137,11
181,10378,13629,10935,2339,2137,11
182,10189,14020,11036,2339,2137,11
183,9585,14594,11021,2339,2137,11
184,10228,13789,10940,2339,2137,11
185,8283,15972,11059,2339,2137,11
186,9661,14366,10945,2339,2137,11
187,10221,13952,11018,2339,2137,11
188,9732,14287,10941,2339,2137,11
189,9108,14891,10931,2339,2137,11
190,9632,14379,10937,2339,2137,11
191,10815,13376,11027,2339,2137,11
192,10368,13615,10923,2339,2137,11
193,10130,14051,11022,2339,2137,11
194,10521,13668,11026,2339,2137,11
195,10137,13860,10930,2339,2137,10
196,9845,14142,10925,2339,2137,11
197,8669,15494,11013,2339,2137,11
198,11356,12845,11032,2339,2137,11
199,8324,15881,11034,2339,2137,11
200,8450,15601,10957,2339,2137,11
201,8880,15291,11017,2339,2137,11
202,9944,14219,11013,2339,2137,11
203,10202,14047,11056,2339,2137,11
204,9093,14884,10920,2339,2137,11
205,9139,14888,10945,2339,2137,11
206,10251,13970,11042,2339,2137,11
207,8285,15910,11029,2339,2137,11
208,8989,15032,10942,2339,2137,11
209,10136,13859,10929,2339,2137,11
210,10519,13500,10941,2339,2137,11
211,10320,13749,10966,2339,2137,11
212,10250,13965,11039,2339,2137,11
213,8981,15002,10923,2339,2137,11
214,11211,12776,10925,2339,2137,11
215,10119,13884,10933,2339,2137,10
216,11201,12800,10932,2339,2137,11
217,10186,14033,11041,2339,2137,11
218,10156,14051,11035,2339,2137,11
219,9621,14548,11016,2339,2137,11
220,10398,13779,11020,2339,2137,11
221,10909,13116,10944,2339,2137,11
222,11127,12890,10940,2339,2137,11
223,10351,13728,10971,2339,2137,11
224,9734,14279,10938,2339,2137,11
225,11151,12864,10939,2339,2137,11
226,9672,14363,10949,2339,2137,11
227,11069,12934,10933,2339,2137,11
228,10181,13832,10938,2339,2137,11
229,8728,15483,11037,2339,2137,11
