sid,BUFF,NOT,AND,PI,PO,LP
6,28296,35954,30823,3087,2604,35
4,28004,36340,30870,3087,2604,35
9,30095,35377,31434,3087,2604,33
7,29725,35587,31354,3087,2604,35
11,29552,35402,31175,3087,2604,33
10,30972,34162,31265,3087,2604,37
14,28590,35288,30637,3087,2604,36
12,30595,35231,31611,3087,2604,36
16,28431,35373,30600,3087,2604,36
15,29039,35629,31032,3087,2604,36
19,28648,35560,30802,3087,2604,36
17,30983,34299,31339,3087,2604,35
23,29748,34992,31068,3087,2604,36
22,27928,37100,31212,3087,2604,37
26,30941,33557,30947,3087,2604,37
24,28404,35284,30542,3087,2604,35
28,30592,34014,31001,3087,2604,36
27,28515,35573,30742,3087,2604,34
30,29249,35273,30959,3087,2604,35
29,31804,33034,31117,3087,2604,35
32,29940,35156,31246,3087,2604,32
31,30761,33811,30984,3087,2604,37
34,28160,36124,30840,3087,2604,37
33,29170,35416,30991,3087,2604,36
38,30390,35766,31776,3087,2604,34
36,31447,34531,31687,3087,2604,34
40,28727,36055,31089,3087,2604,36
39,28521,35267,30592,3087,2604,39
47,30366,35082,31422,3087,2604,33
44,29821,35061,31139,3087,2604,37
49,28840,36048,31142,3087,2604,32
48,30518,37762,32838,3087,2604,36
55,29422,35220,31019,3087,2604,36
51,29665,34191,30626,3087,2604,37
57,30442,35376,31607,3087,2604,37
56,28374,35448,30609,3087,2604,36
60,29261,35257,30957,3087,2604,33
58,29001,35651,31024,3087,2604,34
62,28514,35396,30653,3087,2604,37
61,29687,35125,31104,3087,2604,34
66,28835,37999,32115,3087,2604,36
64,28200,35512,30554,3087,2604,36
69,31338,34156,31445,3087,2604,35
67,30136,35080,31306,3087,2604,36
71,29610,35336,31171,3087,2604,38
70,27163,36723,30641,3087,2604,40
74,29075,35267,30869,3087,2604,36
73,31591,33847,31417,3087,2604,36
78,28551,36215,31081,3087,2604,35
75,29962,33696,30527,3087,2604,37
80,29013,35583,30996,3087,2604,35
79,28534,36118,31024,3087,2604,35
84,30030,35382,31404,3087,2604,35
83,30382,34884,31331,3087,2604,35
87,27997,35623,30508,3087,2604,35
85,31245,33633,31137,3087,2604,36
90,29713,35413,31261,3087,2604,36
89,30620,34448,31232,3087,2604,33
96,28506,35638,30770,3087,2604,37
91,30562,33742,30850,3087,2604,36
98,30539,34365,31150,3087,2604,37
97,29700,34278,30687,3087,2604,34
100,29174,35106,30838,3087,2604,36
99,31750,33968,31557,3087,2604,33
102,31127,34359,31441,3087,2604,34
101,29446,37570,32206,3087,2604,36
104,30867,34403,31333,3087,2604,35
103,28606,36598,31300,3087,2604,35
106,30501,34359,31128,3087,2604,35
105,30815,34415,31313,3087,2604,36
109,29922,35030,31174,3087,2604,36
108,27860,36326,30791,3087,2604,32
111,29626,35608,31315,3087,2604,35
110,28544,36066,31003,3087,2604,38
114,30430,34070,30948,3087,2604,40
113,32040,33084,31260,3087,2604,34
116,28769,35585,30875,3087,2604,36
115,29403,36623,31711,3087,2604,38
118,28921,35371,30844,3087,2604,34
117,28758,35292,30723,3087,2604,35
120,27963,35755,30557,3087,2604,34
119,30255,35785,31718,3087,2604,36
126,30841,33597,30917,3087,2604,36
122,31684,33508,31294,3087,2604,36
133,30432,33980,30904,3087,2604,37
130,31599,32991,30993,3087,2604,33
136,28254,35720,30685,3087,2604,33
134,29130,35944,31235,3087,2604,31
138,28707,35577,30840,3087,2604,35
137,29914,35620,31465,3087,2604,32
141,30510,34610,31258,3087,2604,36
139,27718,36660,30887,3087,2604,36
143,29723,34489,30804,3087,2604,35
142,30161,34191,30874,3087,2604,37
147,30641,33723,30880,3087,2604,35
144,31055,37569,33010,3087,2604,36
151,28654,35592,30821,3087,2604,34
148,30615,33993,31002,3087,2604,35
154,28696,35106,30599,3087,2604,38
153,29613,35459,31234,3087,2604,34
156,28928,37454,31889,3087,2604,37
155,27650,36146,30596,3087,2604,37
158,30683,34931,31505,3087,2604,37
157,30333,35173,31451,3087,2604,34
162,29180,36292,31434,3087,2604,37
161,31719,33321,31218,3087,2604,36
164,30645,34913,31477,3087,2604,34
163,30344,35526,31633,3087,2604,32
167,29339,35377,31056,3087,2604,36
165,29670,35426,31246,3087,2604,37
169,28704,35372,30736,3087,2604,36
168,30596,33952,30972,3087,2604,34
173,27196,36278,30435,3087,2604,36
172,31331,35113,31920,3087,2604,36
175,28947,35713,31028,3087,2604,35
174,29423,36551,31685,3087,2604,35
180,30795,34697,31444,3087,2604,34
179,30800,33834,31015,3087,2604,34
184,29321,34949,30833,3087,2604,34
181,29719,36123,31619,3087,2604,32
186,30600,34318,31157,3087,2604,37
185,31389,33485,31135,3087,2604,35
189,29096,34758,30625,3087,2604,35
188,32113,33219,31364,3087,2604,32
191,29870,35266,31266,3087,2604,35
190,28595,35769,30880,3087,2604,36
193,30646,34982,31512,3087,2604,33
192,29421,35533,31175,3087,2604,35
195,28608,35404,30704,3087,2604,32
194,30711,34791,31449,3087,2604,34
198,30268,35062,31363,3087,2604,38
196,31063,33421,30940,3087,2604,36
200,31119,34667,31591,3087,2604,33
199,31366,33632,31197,3087,2604,33
204,29872,34348,30808,3087,2604,33
202,29856,35092,31172,3087,2604,35
208,28450,38590,32218,3087,2604,35
206,30502,35166,31532,3087,2604,35
212,29744,35556,31348,3087,2604,36
