sid,BUFF,NOT,AND,PI,PO,LP
6,52514,35647,43178,1975,1805,43
4,53149,35562,43453,1975,1805,43
9,50695,35776,42333,1975,1805,43
7,51114,36453,42881,1975,1805,42
11,51482,35539,42608,1975,1805,43
10,50556,36469,42610,1975,1805,42
14,50477,36200,42436,1975,1805,43
12,52193,35330,42859,1975,1805,43
16,51754,35961,42955,1975,1805,43
15,51942,35531,42834,1975,1805,43
19,53269,34986,43225,1975,1805,42
17,50943,35280,42209,1975,1805,42
23,50277,35794,42133,1975,1805,42
22,52254,36073,43261,1975,1805,43
26,49284,37493,42486,1975,1805,42
24,51195,35048,42219,1975,1805,43
28,50548,36281,42512,1975,1805,43
27,50634,36473,42651,1975,1805,43
30,53951,33528,42837,1975,1805,43
29,50331,35988,42257,1975,1805,43
32,51222,35557,42487,1975,1805,43
31,49893,37186,42637,1975,1805,43
34,52295,35136,42813,1975,1805,43
33,52095,35628,42959,1975,1805,43
38,52135,35790,43060,1975,1805,43
36,50920,35757,42436,1975,1805,43
40,51209,35826,42615,1975,1805,43
39,53276,35179,43325,1975,1805,43
47,51129,35946,42635,1975,1805,42
44,50679,36416,42645,1975,1805,42
49,50659,36052,42453,1975,1805,43
48,53224,35115,43267,1975,1805,43
55,52053,35546,42897,1975,1805,43
51,49086,36895,42088,1975,1805,43
57,52990,34285,42735,1975,1805,43
56,49927,35952,42037,1975,1805,43
60,51756,34989,42470,1975,1805,43
58,53325,35118,43319,1975,1805,43
62,51112,35685,42496,1975,1805,42
61,50708,35757,42330,1975,1805,43
66,53224,35287,43353,1975,1805,43
64,51354,36125,42837,1975,1805,43
69,49459,37678,42666,1975,1805,42
67,51536,35447,42589,1975,1805,42
71,51127,34952,42137,1975,1805,43
70,52198,37329,43861,1975,1805,43
74,51946,35513,42827,1975,1805,43
73,50848,36477,42760,1975,1805,43
78,50944,36181,42660,1975,1805,43
75,49319,38040,42777,1975,1805,42
80,50545,35378,42059,1975,1805,43
79,50150,36305,42325,1975,1805,43
84,51910,35187,42646,1975,1805,43
83,51601,35208,42502,1975,1805,43
87,51137,36472,42902,1975,1805,43
85,49140,36655,41995,1975,1805,42
90,50180,36631,42503,1975,1805,42
89,51446,35105,42373,1975,1805,43
96,51296,36303,42897,1975,1805,43
91,51482,35373,42525,1975,1805,43
98,51569,36490,43127,1975,1805,43
97,50141,37978,43157,1975,1805,42
100,51284,37329,43404,1975,1805,43
99,50890,35983,42534,1975,1805,43
102,49439,37850,42742,1975,1805,42
101,53106,35293,43297,1975,1805,43
104,51973,34974,42571,1975,1805,43
103,52418,35477,43045,1975,1805,43
106,50224,36465,42442,1975,1805,42
105,51200,35157,42276,1975,1805,42
109,50992,35395,42291,1975,1805,43
108,52762,35023,42990,1975,1805,43
111,51023,35792,42505,1975,1805,43
110,51939,37008,43571,1975,1805,43
114,50735,38348,43639,1975,1805,43
113,50313,35848,42178,1975,1805,43
116,50736,35991,42461,1975,1805,43
115,52454,35787,43218,1975,1805,43
118,51265,35708,42584,1975,1805,43
117,51289,35260,42372,1975,1805,43
120,50942,35771,42454,1975,1805,43
119,51731,36550,43238,1975,1805,43
126,51442,35869,42753,1975,1805,43
122,50470,36201,42433,1975,1805,43
133,51261,36906,43181,1975,1805,43
130,49972,36317,42242,1975,1805,43
136,51158,35769,42561,1975,1805,43
134,50818,36371,42692,1975,1805,43
138,50930,35755,42440,1975,1805,43
137,50545,35278,42009,1975,1805,42
141,50020,37785,43000,1975,1805,42
139,52090,35317,42801,1975,1805,43
143,51028,35749,42486,1975,1805,43
142,49996,37833,43012,1975,1805,42
147,49875,36764,42417,1975,1805,43
144,52710,34733,42819,1975,1805,43
151,52085,36762,43521,1975,1805,43
148,49668,37497,42680,1975,1805,42
154,51295,35980,42735,1975,1805,43
153,51779,34364,42169,1975,1805,43
156,54715,33544,43227,1975,1805,43
155,51260,36561,43008,1975,1805,43
158,50861,37068,43062,1975,1805,42
157,51267,35612,42537,1975,1805,42
162,53043,36540,43889,1975,1805,43
161,49946,37311,42726,1975,1805,42
164,52592,34847,42817,1975,1805,42
163,51506,35525,42613,1975,1805,43
167,50196,35499,41945,1975,1805,42
165,50686,36101,42491,1975,1805,43
169,51060,35995,42625,1975,1805,43
168,49942,37041,42589,1975,1805,43
173,49956,36711,42431,1975,1805,43
172,54552,33593,43170,1975,1805,43
175,51469,37158,43411,1975,1805,42
174,52794,35067,43028,1975,1805,43
180,51433,35668,42648,1975,1805,43
179,49448,37823,42733,1975,1805,42
184,50767,35624,42293,1975,1805,42
