sid,BUFF,NOT,AND,PI,PO,LP
12,62038,103647,78636,11592,8413,81
11,61535,103574,78348,11592,8413,79
1002,61170,104423,78590,11592,8413,78
1001,58756,106165,78254,11592,8413,83
1004,57804,107899,78645,11592,8413,76
1003,55901,109138,78313,11592,8413,82
1006,59251,105704,78271,11592,8413,75
1005,57455,108466,78754,11592,8413,80
1008,59093,106116,78398,11592,8413,80
1007,59672,105903,78581,11592,8413,80
1010,60341,105110,78519,11592,8413,79
1009,60686,105651,78962,11592,8413,76
102,56914,108473,78487,11592,8413,78
1011,57691,107950,78614,11592,8413,77
1012,54219,110882,78344,11592,8413,81
1013,63224,102133,78472,11592,8413,79
1014,61919,103110,78308,11592,8413,79
1015,57806,107603,78498,11592,8413,82
1016,54061,111420,78534,11592,8413,80
1017,62307,103166,78530,11592,8413,79
1018,62987,102660,78617,11592,8413,78
1019,62581,103426,78797,11592,8413,78
1020,59856,106087,78765,11592,8413,80
103,57561,108258,78703,11592,8413,78
1021,57108,108157,78426,11592,8413,82
1022,56132,109059,78389,11592,8413,78
1023,57693,107546,78413,11592,8413,77
1024,64764,101309,78830,11592,8413,83
1025,59742,105943,78636,11592,8413,84
1026,63665,101210,78231,11592,8413,80
1027,61260,104157,78502,11592,8413,80
1028,62508,103225,78660,11592,8413,82
1029,55463,109740,78395,11592,8413,79
1030,57170,108199,78478,11592,8413,80
104,64999,101130,78858,11592,8413,80
1031,62750,103375,78856,11592,8413,73
1032,54047,112890,79262,11592,8413,76
1033,59015,106880,78741,11592,8413,79
1034,61144,104367,78549,11592,8413,79
1035,57363,108390,78670,11592,8413,76
1036,54447,111746,78890,11592,8413,74
1037,56376,108773,78368,11592,8413,79
1038,62542,102509,78319,11592,8413,78
1039,64324,101463,78687,11592,8413,83
1040,61671,103848,78553,11592,8413,78
105,64750,101337,78837,11592,8413,80
1041,57660,108659,78953,11592,8413,78
1042,60660,105227,78737,11592,8413,79
1043,57676,107663,78463,11592,8413,78
1044,65941,99818,78673,11592,8413,78
1045,62188,102969,78372,11592,8413,80
1046,62759,102858,78602,11592,8413,81
1047,57517,107826,78465,11592,8413,78
1048,62487,102766,78420,11592,8413,82
1049,61066,104679,78666,11592,8413,77
1050,61364,104495,78723,11592,8413,79
106,57123,108844,78777,11592,8413,76
1051,55936,109401,78462,11592,8413,78
1052,53513,112664,78882,11592,8413,81
1053,61418,104001,78503,11592,8413,81
1054,60351,104976,78457,11592,8413,79
1055,60062,105663,78656,11592,8413,78
1056,60688,104863,78569,11592,8413,77
1057,59667,106134,78694,11592,8413,79
1058,59374,106515,78738,11592,8413,77
1059,61745,104222,78777,11592,8413,79
1060,55729,110060,78688,11592,8413,76
107,62529,103518,78817,11592,8413,79
1061,55004,110151,78371,11592,8413,78
1062,59888,106703,79089,11592,8413,82
1063,61645,104514,78873,11592,8413,82
1064,64563,101112,78631,11592,8413,79
1065,61209,104446,78621,11592,8413,77
1066,60642,104807,78518,11592,8413,79
1067,54611,110876,78537,11592,8413,81
1068,58891,106360,78419,11592,8413,80
1069,55151,110528,78633,11592,8413,78
1070,55462,110079,78564,11592,8413,76
108,63029,102818,78717,11592,8413,81
1071,65510,100549,78823,11592,8413,77
1072,63442,101905,78467,11592,8413,77
1073,66468,98105,78080,11592,8413,83
1074,60769,104250,78303,11592,8413,75
1075,58519,107124,78615,11592,8413,76
1076,53491,111998,78538,11592,8413,79
1077,59435,105972,78497,11592,8413,81
1078,56187,109102,78438,11592,8413,79
1079,63000,102703,78645,11592,8413,80
1080,59407,106500,78747,11592,8413,80
109,66073,99050,78355,11592,8413,78
1081,60194,106889,79335,11592,8413,80
1082,63333,102470,78695,11592,8413,77
1083,60307,106140,79017,11592,8413,80
1084,59797,105898,78641,11592,8413,79
1085,61679,103464,78365,11592,8413,85
1086,58163,107946,78848,11592,8413,76
1087,59978,105911,78738,11592,8413,78
1088,58132,107845,78782,11592,8413,81
1089,61557,104008,78576,11592,8413,80
1090,58427,107398,78706,11592,8413,80
110,61068,104489,78572,11592,8413,81
1091,55234,109917,78369,11592,8413,79
1092,60089,106612,79144,11592,8413,84
1093,62944,102679,78605,11592,8413,78
1094,60117,105286,78495,11592,8413,80
1095,56875,109002,78732,11592,8413,77
1096,59013,106862,78731,11592,8413,79
1097,56610,108677,78437,11592,8413,80
