sid,BUFF,NOT,AND,PI,PO,LP
1253,5108,4154,4599,303,64,30
36,5096,4158,4595,303,64,29
574,5248,4006,4595,303,64,30
1074,5292,3964,4596,303,64,29
1195,5188,4060,4592,303,64,29
861,5256,3996,4594,303,64,29
903,5258,3996,4595,303,64,29
184,5179,4055,4585,303,64,29
531,5312,3962,4605,303,64,29
699,5282,3998,4608,303,64,29
90,5277,3959,4586,303,64,29
792,5190,4062,4594,303,64,29
229,5094,4156,4593,303,64,29
1200,5293,3961,4595,303,64,29
440,5174,4058,4584,303,64,29
557,5088,4158,4591,303,64,29
1189,5254,3996,4593,303,64,29
269,5298,3966,4600,303,64,29
1149,5192,4056,4592,303,64,29
1472,5100,4156,4596,303,64,29
265,5272,3996,4602,303,64,29
1202,5278,3998,4606,303,64,30
994,5282,3966,4592,303,64,29
1114,5184,4056,4588,303,64,29
514,5177,4053,4583,303,64,29
250,5278,3966,4590,303,64,30
980,5285,3969,4595,303,64,29
709,5264,3998,4599,303,64,29
402,5106,4156,4599,303,64,29
253,5252,3994,4591,303,64,29
667,5289,3963,4594,303,64,29
156,5271,3995,4601,303,64,29
643,5256,3996,4594,303,64,29
177,5086,4158,4590,303,64,29
869,5277,3963,4588,303,64,29
640,5074,4154,4582,303,64,29
1289,5182,4060,4589,303,64,29
234,5249,4007,4596,303,64,29
683,5308,3962,4603,303,64,29
694,5091,4161,4594,303,64,29
741,5276,3966,4589,303,64,29
1226,5200,4062,4599,303,64,29
315,5206,4060,4601,303,64,29
1264,5190,4058,4592,303,64,29
1254,5206,4062,4602,303,64,29
1242,5268,3998,4601,303,64,29
412,5102,4152,4595,303,64,29
419,5198,4054,4594,303,64,29
408,5210,4058,4602,303,64,29
231,5096,4154,4593,303,64,29
956,5255,3995,4593,303,64,30
1042,5304,3960,4600,303,64,29
60,5292,3962,4595,303,64,29
930,5194,4056,4593,303,64,29
34,5264,3996,4598,303,64,29
845,5262,3998,4598,303,64,29
423,5268,3996,4600,303,64,29
820,5254,3998,4594,303,64,29
1282,5195,4057,4594,303,64,29
288,5253,4005,4597,303,64,29
949,5263,3993,4596,303,64,29
1476,5079,4159,4587,303,64,29
135,5286,3960,4591,303,64,29
239,5288,3962,4593,303,64,29
617,5098,4156,4595,303,64,29
328,5294,3964,4597,303,64,29
483,5286,3998,4610,303,64,30
933,5087,4159,4591,303,64,29
697,5106,4158,4600,303,64,29
809,5095,4157,4594,303,64,29
1083,5268,3996,4600,303,64,29
751,5116,4158,4605,303,64,30
227,5300,3960,4598,303,64,29
724,5198,4060,4597,303,64,29
704,5104,4158,4599,303,64,29
77,5292,3966,4597,303,64,29
633,5300,3964,4600,303,64,29
715,5290,3966,4596,303,64,29
1062,5274,3996,4603,303,64,29
207,5100,4158,4597,303,64,29
813,5192,4062,4595,303,64,29
887,5236,3998,4585,303,64,29
799,5190,4060,4593,303,64,29
424,5179,4059,4587,303,64,29
512,5198,4060,4597,303,64,29
99,5104,4158,4599,303,64,29
1224,5262,3996,4597,303,64,29
923,5207,4061,4602,303,64,30
127,5176,4058,4585,303,64,29
976,5245,3999,4590,303,64,29
33,5302,3966,4602,303,64,29
388,5298,3962,4598,303,64,29
145,5180,4058,4587,303,64,29
48,5121,4155,4606,303,64,29
1104,5268,3998,4601,303,64,30
591,5263,3997,4598,303,64,30
294,5278,3998,4606,303,64,29
1119,5262,3998,4598,303,64,29
98,5278,3998,4606,303,64,29
22,5130,4158,4612,303,64,29
668,5274,3964,4587,303,64,29
170,5296,3964,4598,303,64,29
679,5286,3964,4593,303,64,29
139,5282,3998,4608,303,64,29
1273,5294,3962,4596,303,64,29
692,5208,4062,4603,303,64,30
66,5112,4156,4602,303,64,29
885,5096,4156,4594,303,64,29
148,5090,4154,4590,303,64,29
803,5284,3964,4592,303,64,29
1120,5252,3996,4592,303,64,29
360,5292,3962,4595,303,64,29
341,5294,3966,4598,303,64,29
1245,5188,4062,4593,303,64,29
1214,5268,3998,4601,303,64,29
74,5204,4060,4600,303,64,29
1177,5294,3966,4598,303,64,29
841,5243,3995,4587,303,64,29
1081,5200,4060,4598,303,64,29
399,5292,3964,4596,303,64,29
1456,5308,3966,4605,303,64,29
39,5208,4062,4603,303,64,29
1448,5112,4156,4602,303,64,29
302,5178,4060,4587,303,64,29
45,5098,4158,4596,303,64,30
1014,5272,3964,4586,303,64,29
639,5113,4153,4601,303,64,29
358,5280,3964,4590,303,64,29
1173,5279,3995,4605,303,64,30
107,5192,4060,4594,303,64,29
334,5177,4057,4585,303,64,29
533,5276,3966,4589,303,64,29
541,5188,4060,4592,303,64,29
383,5292,3966,4597,303,64,29
485,5262,3998,4598,303,64,29
690,5250,3994,4590,303,64,29
276,5196,4056,4594,303,64,29
560,5110,4158,4602,303,64,29
556,5094,4154,4592,303,64,29
157,5279,3963,4589,303,64,29
944,5290,3966,4596,303,64,29
1222,5248,3996,4590,303,64,29
47,5182,4062,4590,303,64,29
790,5178,4060,4587,303,64,29
743,5284,3962,4591,303,64,29
1280,5092,4156,4592,303,64,29
330,5107,4155,4599,303,64,29
319,5096,4158,4595,303,64,29
524,5210,4058,4602,303,64,29
476,5304,3960,4600,303,64,30
1130,5194,4062,4596,303,64,29
614,5286,3962,4592,303,64,29
180,5188,4062,4593,303,64,29
664,5242,3994,4586,303,64,29
1492,5267,3975,4589,303,64,29
781,5252,3998,4593,303,64,29
579,5310,3966,4606,303,64,30
807,5208,4056,4600,303,64,29
129,5094,4156,4593,303,64,29
369,5286,3964,4593,303,64,29
1141,5306,3966,4604,303,64,29
948,5240,3996,4586,303,64,29
705,5089,4165,4595,303,64,29
1393,5101,4157,4597,303,64,29
415,5182,4072,4595,303,64,29
106,5100,4158,4597,303,64,29
974,5259,4001,4598,303,64,29
826,5086,4158,4590,303,64,29
1024,5220,4058,4607,303,64,30
575,5298,3966,4600,303,64,29
204,5095,4155,4593,303,64,29
1046,5294,3966,4598,303,64,29
1105,5208,4062,4603,303,64,29
1168,5194,4058,4594,303,64,29
480,5096,4158,4595,303,64,29
1252,5188,4060,4592,303,64,29
1422,5258,3994,4594,303,64,29
611,5284,3966,4593,303,64,29
594,5244,3994,4587,303,64,29
425,5294,3962,4596,303,64,29
1498,5103,4155,4597,303,64,29
1367,5234,3994,4582,303,64,29
137,5284,3962,4591,303,64,29
291,5186,4060,4591,303,64,29
463,5116,4156,4604,303,64,29
829,5304,3966,4603,303,64,29
488,5314,3966,4608,303,64,30
549,5252,3998,4593,303,64,29
1153,5187,4061,4592,303,64,29
1263,5126,4156,4609,303,64,29
268,5112,4156,4602,303,64,29
1450,5190,4058,4592,303,64,29
475,5112,4158,4603,303,64,29
1211,5270,3966,4586,303,64,29
928,5162,4054,4576,303,64,29
1036,5260,3998,4597,303,64,29
354,5073,4163,4586,303,64,29
732,5288,3966,4595,303,64,29
1098,5272,3966,4587,303,64,29
1159,5096,4154,4593,303,64,29
855,5256,3998,4595,303,64,29
468,5290,3966,4596,303,64,29
910,5196,4062,4597,303,64,29
1025,5128,4158,4611,303,64,29
1009,5266,3998,4600,303,64,29
746,5198,4060,4597,303,64,29
486,5093,4157,4593,303,64,29
197,5082,4156,4587,303,64,29
800,5249,3993,4589,303,64,29
1,5304,3964,4602,303,64,29
1261,5290,3994,4610,303,64,29
316,5097,4151,4592,303,64,29
601,5230,4062,4614,303,64,30
622,5282,3964,4591,303,64,29
862,5184,4060,4590,303,64,29
529,5206,4060,4601,303,64,29
397,5086,4162,4592,303,64,29
899,5256,3994,4593,303,64,29
252,5294,3960,4595,303,64,29
138,5282,3966,4592,303,64,29
217,5266,3998,4600,303,64,29
1336,5096,4158,4595,303,64,29
298,5280,3966,4591,303,64,29
1384,5184,4060,4590,303,64,29
262,5192,4060,4594,303,64,29
1246,5100,4152,4594,303,64,29
433,5208,4062,4603,303,64,29
96,5196,4060,4596,303,64,29
1286,5094,4156,4593,303,64,29
450,5184,4062,4591,303,64,29
626,5096,4156,4594,303,64,29
426,5288,3966,4595,303,64,30
1347,5268,3998,4601,303,64,29
1352,5300,3966,4601,303,64,29
785,5294,3964,4597,303,64,29
1296,5208,4056,4600,303,64,29
1205,5200,4060,4598,303,64,29
470,5180,4060,4588,303,64,29
1218,5214,4062,4606,303,64,29
1234,5204,4062,4601,303,64,29
547,5261,3995,4596,303,64,29
136,5292,3962,4595,303,64,29
600,5206,4056,4599,303,64,29
998,5278,3970,4592,303,64,29
1089,5290,3966,4596,303,64,29
1247,5264,3996,4598,303,64,29
596,5210,4062,4604,303,64,30
764,5300,3966,4601,303,64,29
713,5286,3966,4594,303,64,29
1185,5306,3966,4604,303,64,30
25,5256,3996,4594,303,64,29
759,5304,3962,4601,303,64,30
1238,5266,3998,4600,303,64,29
918,5296,3966,4599,303,64,29
959,5283,3999,4609,303,64,30
0,5174,4058,4584,303,64,29
1101,5118,4154,4604,303,64,29
1093,5086,4158,4590,303,64,29
1064,5200,4060,4598,303,64,29
1002,5200,4062,4599,303,64,29
1137,5120,4156,4606,303,64,29
357,5290,3964,4595,303,64,29
1088,5280,3966,4591,303,64,29
183,5082,4164,4591,303,64,30
329,5274,3994,4602,303,64,29
1181,5184,4062,4591,303,64,29
27,5252,3996,4592,303,64,29
310,5257,3997,4595,303,64,29
545,5118,4156,4605,303,64,29
109,5192,4060,4594,303,64,29
117,5282,3964,4591,303,64,29
213,5097,4157,4595,303,64,29
1420,5296,3966,4599,303,64,29
371,5178,4058,4586,303,64,29
158,5116,4154,4603,303,64,29
996,5180,4058,4587,303,64,29
810,5292,3966,4597,303,64,29
766,5276,3964,4588,303,64,29
346,5266,3994,4598,303,64,29
1314,5109,4155,4600,303,64,29
1444,5272,3964,4586,303,64,29
1494,5087,4153,4588,303,64,29
1481,5177,4061,4587,303,64,29
159,5272,3998,4603,303,64,29
1144,5113,4159,4604,303,64,29
1358,5102,4152,4595,303,64,29
15,5302,3964,4601,303,64,29
1055,5188,4062,4593,303,64,29
534,5256,3996,4594,303,64,29
