sid,BUFF,NOT,AND,PI,PO,LP
12,14462,22557,17222,2708,2575,30
11,15907,21262,17297,2708,2575,30
1002,13656,23421,17251,2708,2575,32
1001,14299,22688,17206,2708,2575,31
1004,16719,20328,17236,2708,2575,30
1003,11566,25503,17247,2708,2575,31
1006,14396,22747,17284,2708,2575,30
1005,11833,25290,17274,2708,2575,30
1008,13882,23259,17283,2708,2575,30
1007,14422,22567,17207,2708,2575,31
1010,14358,22643,17213,2708,2575,31
1009,13622,23427,17237,2708,2575,31
1148,13584,23457,17233,2708,2575,30
102,11802,25303,17265,2708,2575,30
1011,16608,20525,17279,2708,2575,30
1012,11846,25327,17299,2708,2575,30
1013,14516,22479,17210,2708,2575,30
1014,16611,20398,17217,2708,2575,30
1015,12264,24743,17216,2708,2575,31
1016,12272,24747,17222,2708,2575,30
1017,15920,21139,17242,2708,2575,31
1018,15875,21122,17211,2708,2575,31
1019,13631,23418,17237,2708,2575,30
1020,14452,22781,17329,2708,2575,30
103,13640,23471,17268,2708,2575,31
1021,12474,24569,17234,2708,2575,31
1022,11566,25457,17224,2708,2575,31
1023,12424,24825,17337,2708,2575,30
1024,13587,23392,17202,2708,2575,32
1025,13754,23255,17217,2708,2575,32
1026,16729,20320,17237,2708,2575,30
1027,14321,22700,17223,2708,2575,30
1028,16600,20423,17224,2708,2575,31
1029,12939,24096,17230,2708,2575,31
1030,12548,24609,17291,2708,2575,31
104,14478,22639,17271,2708,2575,31
1031,14480,22607,17256,2708,2575,31
1032,13184,23967,17288,2708,2575,31
1033,13658,23511,17297,2708,2575,29
1034,15984,21021,17215,2708,2575,30
1035,13667,23400,17246,2708,2575,30
1036,11599,25464,17244,2708,2575,31
1037,11779,25240,17222,2708,2575,30
1038,15868,21215,17254,2708,2575,30
1039,14317,22716,17229,2708,2575,33
1040,15947,21256,17314,2708,2575,30
105,13717,23668,17405,2708,2575,30
1041,13609,23472,17253,2708,2575,30
1042,16026,20997,17224,2708,2575,32
1043,12287,24766,17239,2708,2575,30
1044,13611,23398,17217,2708,2575,31
1045,13800,23343,17284,2708,2575,30
1046,16723,20304,17226,2708,2575,30
1047,11759,25256,17220,2708,2575,31
1048,13621,23344,17195,2708,2575,31
1049,13840,23261,17263,2708,2575,30
1050,15923,21188,17268,2708,2575,31
106,13117,23904,17223,2708,2575,31
1051,11574,25469,17234,2708,2575,30
1052,12544,24567,17268,2708,2575,31
1053,16003,21020,17224,2708,2575,30
1054,14412,22787,17312,2708,2575,31
1055,13640,23395,17230,2708,2575,32
1056,13591,23382,17199,2708,2575,31
1057,13549,23490,17232,2708,2575,30
1058,11562,25465,17226,2708,2575,30
1059,16707,20272,17202,2708,2575,31
1060,12453,24640,17259,2708,2575,29
107,13720,23555,17350,2708,2575,30
1061,12458,24543,17213,2708,2575,30
1062,14450,22687,17281,2708,2575,30
1063,13861,23292,17289,2708,2575,33
1064,13585,23464,17237,2708,2575,31
1065,15845,21166,17218,2708,2575,32
1066,16702,20283,17205,2708,2575,31
1067,11802,25231,17229,2708,2575,30
1068,11561,25424,17205,2708,2575,30
1069,12500,24593,17259,2708,2575,30
1070,11772,25259,17228,2708,2575,30
108,16618,20441,17242,2708,2575,30
1071,14371,22712,17254,2708,2575,31
1072,16537,20446,17204,2708,2575,30
1073,14437,22722,17292,2708,2575,31
1074,15905,21086,17208,2708,2575,30
1075,11529,25452,17203,2708,2575,32
1076,11902,25391,17359,2708,2575,29
1077,14447,22544,17208,2708,2575,31
1078,12472,24521,17209,2708,2575,30
1079,16564,20441,17215,2708,2575,30
1080,13835,23214,17237,2708,2575,31
109,13659,23428,17256,2708,2575,30
1081,14398,22773,17298,2708,2575,30
1082,16560,20463,17224,2708,2575,31
1083,15080,22057,17281,2708,2575,30
1084,13520,23551,17248,2708,2575,30
1085,14424,22767,17308,2708,2575,33
1086,16731,20390,17273,2708,2575,31
1087,13620,23625,17335,2708,2575,30
1088,16691,20324,17220,2708,2575,31
1089,15860,21145,17215,2708,2575,30
1090,11535,25462,17211,2708,2575,31
110,15890,21123,17219,2708,2575,31
1091,11759,25358,17271,2708,2575,30
1092,14355,22756,17268,2708,2575,33
1093,15151,21906,17241,2708,2575,31
1094,16017,21248,17345,2708,2575,30
1095,11509,25500,17217,2708,2575,31
1096,13570,23515,17255,2708,2575,30
1097,13601,23390,17208,2708,2575,31
1098,16029,21016,17235,2708,2575,32
1099,16607,20438,17235,2708,2575,30
1100,11530,25465,17210,2708,2575,31
101,12560,24561,17273,2708,2575,30
111,13834,23187,17223,2708,2575,30
1101,12503,24570,17249,2708,2575,31
1102,11546,25477,17224,2708,2575,31
1103,15914,21137,17238,2708,2575,30
1104,13689,23414,17264,2708,2575,30
1105,14330,22701,17228,2708,2575,31
1106,13729,23294,17224,2708,2575,31
1107,14568,22511,17252,2708,2575,33
1108,15862,21125,17206,2708,2575,29
1109,13743,23262,17215,2708,2575,30
1110,11763,25316,17252,2708,2575,31
112,13748,23737,17455,2708,2575,30
1111,11790,25317,17266,2708,2575,30
1112,16631,20440,17248,2708,2575,31
1113,15913,21156,17247,2708,2575,30
1114,14512,22571,17254,2708,2575,31
1115,13661,23396,17241,2708,2575,29
1116,14492,22607,17262,2708,2575,31
1117,14387,22742,17277,2708,2575,30
1118,12282,24743,17225,2708,2575,31
1119,12367,24788,17290,2708,2575,31
1120,12278,24777,17240,2708,2575,30
113,12374,24841,17320,2708,2575,31
1121,12509,24578,17256,2708,2575,30
1122,14298,22703,17213,2708,2575,31
1123,14516,22529,17235,2708,2575,30
1124,16048,21027,17250,2708,2575,31
1125,16562,20435,17211,2708,2575,31
1126,14523,22486,17217,2708,2575,30
1127,15898,21105,17214,2708,2575,30
1128,16749,20338,17256,2708,2575,31
1129,15079,22100,17302,2708,2575,30
1130,14457,22576,17229,2708,2575,31
114,12491,24540,17228,2708,2575,33
1131,11779,25356,17280,2708,2575,31
1132,13645,23390,17230,2708,2575,30
1133,11824,25299,17274,2708,2575,30
1134,11784,25231,17220,2708,2575,31
1135,11771,25280,17238,2708,2575,30
1136,11561,25516,17251,2708,2575,31
1137,13844,23227,17248,2708,2575,31
1138,14561,22580,17283,2708,2575,31
1139,13641,23460,17263,2708,2575,30
1140,12270,24747,17221,2708,2575,30
115,13832,23255,17256,2708,2575,32
1141,15862,21113,17200,2708,2575,31
1142,13635,23430,17245,2708,2575,30
1143,12282,24721,17214,2708,2575,30
1144,11894,25303,17311,2708,2575,30
1145,14452,22575,17226,2708,2575,31
1146,16029,21058,17256,2708,2575,30
1147,15902,21187,17257,2708,2575,29
1149,13668,23407,17250,2708,2575,31
1150,11783,25246,17227,2708,2575,31
116,13598,23409,17216,2708,2575,31
1151,13605,23394,17212,2708,2575,31
1152,11604,25495,17262,2708,2575,31
1153,13561,23438,17212,2708,2575,32
1154,15813,21214,17226,2708,2575,32
1155,14457,22580,17231,2708,2575,31
1156,12280,24737,17221,2708,2575,30
1157,15879,21264,17284,2708,2575,30
1158,13577,23450,17226,2708,2575,31
1159,13836,23265,17263,2708,2575,31
1160,13611,23430,17233,2708,2575,30
117,16538,20453,17208,2708,2575,29
1161,12488,24529,17221,2708,2575,32
1162,12250,24727,17201,2708,2575,31
1163,13712,23435,17286,2708,2575,29
1164,16015,21000,17220,2708,2575,31
1165,13630,23423,17239,2708,2575,31
1166,13676,23487,17294,2708,2575,31
1167,14400,22751,17288,2708,2575,30
1168,13643,23356,17212,2708,2575,30
1169,14429,22572,17213,2708,2575,31
1170,15882,21143,17225,2708,2575,32
118,13624,23391,17220,2708,2575,31
1171,14308,22753,17243,2708,2575,32
1172,16584,20453,17231,2708,2575,31
1173,13659,23524,17304,2708,2575,33
1174,12246,24747,17209,2708,2575,31
1175,13687,23364,17238,2708,2575,33
1176,13712,23383,17260,2708,2575,32
1177,16774,20383,17291,2708,2575,30
1178,11774,25235,17217,2708,2575,30
1179,16546,20453,17212,2708,2575,30
1180,14319,22662,17203,2708,2575,30
119,15843,21132,17200,2708,2575,31
1181,13558,23509,17246,2708,2575,30
1182,11760,25323,17254,2708,2575,31
1183,11795,25220,17220,2708,2575,29
1184,15987,21016,17214,2708,2575,30
1185,16604,20395,17212,2708,2575,31
1186,11756,25267,17224,2708,2575,31
1187,12213,24792,17215,2708,2575,30
1188,14346,22757,17264,2708,2575,31
1189,12258,24751,17217,2708,2575,30
1190,11728,25259,17206,2708,2575,32
120,16710,20293,17214,2708,2575,31
1191,14511,22534,17235,2708,2575,31
1192,15893,21138,17228,2708,2575,30
1193,13202,23965,17296,2708,2575,31
1194,12472,24547,17222,2708,2575,31
1195,13747,23464,17318,2708,2575,30
1196,11772,25237,17217,2708,2575,31
1197,11814,25273,17256,2708,2575,30
1198,12474,24609,17254,2708,2575,31
1199,13513,23482,17210,2708,2575,30
1200,15933,21214,17286,2708,2575,30
13,14391,22698,17257,2708,2575,31
121,12293,24724,17221,2708,2575,31
1201,16624,20431,17240,2708,2575,29
1202,11558,25493,17238,2708,2575,33
1203,13622,23529,17288,2708,2575,30
1204,14364,22805,17297,2708,2575,30
1205,13635,23416,17238,2708,2575,31
1206,13655,23472,17276,2708,2575,29
1207,14364,22717,17253,2708,2575,30
1208,13830,23207,17231,2708,2575,31
1209,12293,24732,17225,2708,2575,30
1210,16668,20319,17206,2708,2575,30
122,11564,25441,17215,2708,2575,30
1211,16014,21031,17235,2708,2575,30
1212,14395,22648,17234,2708,2575,31
1213,16782,20379,17293,2708,2575,31
1214,13640,23429,17247,2708,2575,30
1215,14351,22676,17226,2708,2575,31
1216,13671,23402,17249,2708,2575,31
1217,12461,24576,17231,2708,2575,31
1218,14499,22606,17265,2708,2575,30
1219,12512,24525,17231,2708,2575,31
1220,12256,24793,17237,2708,2575,31
123,13638,23387,17225,2708,2575,31
1221,12290,24715,17215,2708,2575,30
1222,12283,24728,17218,2708,2575,30
1223,13725,23460,17305,2708,2575,30
1224,15038,22091,17277,2708,2575,30
1225,16645,20410,17240,2708,2575,31
1226,14464,22571,17230,2708,2575,30
1227,16619,20500,17272,2708,2575,30
1228,12297,24776,17249,2708,2575,31
1229,14341,22708,17237,2708,2575,30
1230,13849,23246,17260,2708,2575,33
124,14486,22493,17202,2708,2575,30
1231,13599,23426,17225,2708,2575,31
1232,12286,24761,17236,2708,2575,30
1233,15949,21218,17296,2708,2575,31
1234,14512,22595,17266,2708,2575,30
1235,14459,22562,17223,2708,2575,31
1236,12481,24574,17240,2708,2575,31
1237,12289,24822,17268,2708,2575,31
1238,11565,25474,17232,2708,2575,31
1239,13878,23319,17311,2708,2575,30
1240,11729,25256,17205,2708,2575,31
125,12259,24764,17224,2708,2575,30
1241,16050,21041,17258,2708,2575,30
1242,12287,24754,17233,2708,2575,30
1243,14376,22727,17264,2708,2575,30
1244,11791,25228,17222,2708,2575,31
1245,13586,23505,17258,2708,2575,30
1246,13790,23223,17219,2708,2575,31
1247,13614,23417,17228,2708,2575,30
1248,12477,24532,17217,2708,2575,31
1249,11820,25309,17277,2708,2575,30
1250,16713,20302,17220,2708,2575,30
126,11594,25461,17240,2708,2575,31
1251,11759,25280,17232,2708,2575,31
