sid,BUFF,NOT,AND,PI,PO,LP
12,65263,75279,65060,10731,10422,34
11,55764,84456,64899,10731,10422,30
1002,63996,76346,64960,10731,10422,32
1001,56809,83375,64881,10731,10422,30
1004,65460,75126,65082,10731,10422,33
1003,46207,93985,64885,10731,10422,30
1006,56811,83445,64917,10731,10422,29
1005,46453,94167,65099,10731,10422,31
1008,55822,84474,64937,10731,10422,32
1007,65391,75023,64996,10731,10422,31
1010,56838,83358,64887,10731,10422,34
1009,64100,76464,65071,10731,10422,30
102,46278,94088,64972,10731,10422,32
1011,64982,75514,65037,10731,10422,31
1012,46302,94058,64969,10731,10422,31
1013,56837,83555,64985,10731,10422,30
1014,56773,83431,64891,10731,10422,33
1015,47340,92966,64942,10731,10422,31
1016,55540,84892,65005,10731,10422,31
1017,63853,76509,64970,10731,10422,30
1018,63818,76516,64956,10731,10422,33
1019,56344,84318,65120,10731,10422,31
1020,65294,75540,65206,10731,10422,33
103,56081,84587,65123,10731,10422,31
1021,47359,92983,64960,10731,10422,30
1022,46350,94038,64983,10731,10422,30
1023,47277,93005,64930,10731,10422,32
1024,64122,76338,65019,10731,10422,32
1025,64185,76397,65080,10731,10422,33
1026,57121,83111,64905,10731,10422,32
1027,64944,75290,64906,10731,10422,30
1028,64855,75335,64884,10731,10422,33
1029,47187,93069,64917,10731,10422,33
1030,47391,93063,65016,10731,10422,30
104,65422,74920,64960,10731,10422,32
1031,65537,75097,65106,10731,10422,30
1032,55758,85400,65368,10731,10422,32
1033,56287,84299,65082,10731,10422,32
1034,64285,76133,64998,10731,10422,33
1035,56015,84631,65112,10731,10422,33
1036,54712,85888,65089,10731,10422,32
1037,54437,85777,64896,10731,10422,33
1038,55811,84421,64905,10731,10422,30
1039,64918,75512,65004,10731,10422,34
1040,55708,84710,64998,10731,10422,32
105,56341,84907,65413,10731,10422,32
1041,56349,84435,65181,10731,10422,31
1042,64206,76198,64991,10731,10422,31
1043,47351,92939,64934,10731,10422,32
1044,64027,76373,64989,10731,10422,31
1045,56137,84203,64959,10731,10422,32
1046,65545,75103,65113,10731,10422,33
1047,54476,85924,64989,10731,10422,31
1048,64071,76151,64900,10731,10422,33
1049,64099,76345,65011,10731,10422,30
1050,63983,76333,64947,10731,10422,34
106,55476,85046,65050,10731,10422,31
1051,46235,94069,64941,10731,10422,32
1052,55620,85166,65182,10731,10422,33
1053,64493,75969,65020,10731,10422,32
1054,64853,75419,64925,10731,10422,30
1055,63917,76515,65005,10731,10422,31
1056,64068,76346,64996,10731,10422,31
1057,56087,84309,64987,10731,10422,33
1058,54620,85868,65033,10731,10422,29
1059,65350,75232,65080,10731,10422,31
1060,46389,94053,65010,10731,10422,33
107,56258,84396,65116,10731,10422,31
1061,47246,93098,64961,10731,10422,30
1062,65301,75695,65287,10731,10422,33
1063,64041,76521,65070,10731,10422,34
