sid,BUFF,NOT,AND,PI,PO,LP
1253,17898,30165,23827,632,409,816
36,18429,30166,24093,632,409,782
574,19038,29557,24093,632,409,777
1074,18750,29673,24007,632,409,794
1195,18752,29447,23895,632,409,780
861,18583,29814,23994,632,409,783
903,18512,29771,23937,632,409,777
184,18653,29392,23818,632,409,785
531,18404,29755,23875,632,409,803
699,18440,29921,23976,632,409,802
90,18112,29501,23602,632,409,794
792,18850,29249,23845,632,409,799
229,18081,30400,24036,632,409,780
1200,18706,29843,24070,632,409,786
440,18828,29345,23882,632,409,787
557,18228,29875,23847,632,409,769
1189,18359,29618,23784,632,409,775
269,18575,29724,23945,632,409,803
1149,18758,29527,23938,632,409,786
1472,18468,30011,24035,632,409,766
265,18504,29981,24038,632,409,792
1202,18598,29933,24061,632,409,816
994,18792,29789,24086,632,409,786
1114,18909,29322,23911,632,409,780
514,18974,29417,23991,632,409,764
250,18364,29513,23734,632,409,806
980,18512,29543,23823,632,409,785
709,18471,29880,23971,632,409,806
402,18288,30383,24131,632,409,798
253,18604,30025,24110,632,409,760
667,18757,29648,23998,632,409,789
156,19041,29654,24143,632,409,776
643,18751,29756,24049,632,409,784
177,18323,29892,23903,632,409,781
869,18642,29615,23924,632,409,776
640,18230,29985,23903,632,409,787
1289,18659,29404,23827,632,409,795
234,18729,29644,23982,632,409,773
683,18381,29606,23789,632,409,786
694,18194,30193,23989,632,409,774
741,18609,29920,24060,632,409,786
1226,18391,29642,23812,632,409,800
315,19040,29697,24164,632,409,771
1264,18968,29607,24083,632,409,784
1254,18922,29661,24087,632,409,802
1242,18241,29784,23808,632,409,802
412,17889,30142,23811,632,409,802
419,18687,29642,23960,632,409,786
408,18621,29618,23915,632,409,808
231,17878,30103,23786,632,409,799
956,18088,29923,23801,632,409,811
1042,18383,29890,23932,632,409,796
60,18653,29590,23917,632,409,787
930,18761,29762,24057,632,409,773
34,18546,29577,23857,632,409,791
845,18255,29734,23790,632,409,791
423,18708,29625,23962,632,409,796
820,18399,29704,23847,632,409,789
1282,19297,29824,24356,632,409,770
288,18217,29930,23869,632,409,801
949,19303,29596,24245,632,409,778
1476,18588,30051,24115,632,409,767
135,18591,29806,23994,632,409,767
239,18636,29531,23879,632,409,777
617,18288,30117,23998,632,409,781
328,18509,29596,23848,632,409,792
483,18564,29717,23936,632,409,818
