sid,BUFF,NOT,AND,PI,PO,LP
1253,3635,7322,5258,494,441,73
36,3821,7622,5501,494,441,73
574,3638,7511,5354,494,441,73
1074,3680,7413,5326,494,441,73
1195,3554,7431,5272,494,441,73
861,3579,7578,5358,494,441,73
903,3623,7314,5248,494,441,72
184,3646,7455,5330,494,441,73
531,3593,7300,5226,494,441,73
699,3745,7296,5300,494,441,73
90,3596,7207,5181,494,441,73
792,3736,7439,5367,494,441,73
229,3660,7463,5341,494,441,73
1200,3664,7393,5308,494,441,73
440,3644,7219,5211,494,441,73
557,3682,7259,5250,494,441,73
1189,3670,7321,5275,494,441,73
269,3689,7466,5357,494,441,73
1149,3728,7413,5350,494,441,72
1472,3745,7362,5333,494,441,73
265,3632,7359,5275,494,441,73
1202,3797,7472,5414,494,441,73
994,3704,7277,5270,494,441,73
1114,3644,7273,5238,494,441,73
514,3714,7545,5409,494,441,71
250,3634,7305,5249,494,441,73
980,3676,7329,5282,494,441,73
709,3736,7285,5290,494,441,73
402,3705,7306,5285,494,441,73
253,3564,7563,5343,494,441,73
667,3667,7294,5260,494,441,73
156,3745,7430,5367,494,441,73
643,3593,7310,5231,494,441,73
177,3704,7385,5324,494,441,73
869,3684,7315,5279,494,441,73
640,3668,7327,5277,494,441,73
1289,3658,7319,5268,494,441,73
234,3778,7447,5392,494,441,72
683,3603,7300,5231,494,441,73
694,3776,7477,5406,494,441,71
741,3645,7704,5454,494,441,73
1226,3550,7483,5296,494,441,73
315,3851,7468,5439,494,441,71
1264,3733,7408,5350,494,441,73
1254,3614,7615,5394,494,441,73
1242,3707,7286,5276,494,441,73
412,3722,7417,5349,494,441,73
419,3599,7460,5309,494,441,73
408,3637,7374,5285,494,441,73
231,3612,7417,5294,494,441,73
956,3563,7620,5371,494,441,73
1042,3629,7390,5289,494,441,73
60,3619,7470,5324,494,441,73
930,3567,7778,5452,494,441,73
34,3652,7279,5245,494,441,73
845,3598,7315,5236,494,441,73
423,3631,7344,5267,494,441,73
820,3639,7152,5175,494,441,73
1282,3713,7584,5428,494,441,72
288,3615,7320,5247,494,441,73
949,3805,7260,5312,494,441,71
1476,3586,7501,5323,494,441,73
135,3675,7384,5309,494,441,73
239,3579,7292,5215,494,441,73
617,3701,7296,5278,494,441,73
328,3719,7354,5316,494,441,73
483,3737,7506,5401,494,441,73
933,3684,7595,5419,494,441,73
697,3692,7261,5256,494,441,73
809,3828,7543,5465,494,441,73
1083,3799,7340,5349,494,441,73
751,3749,7426,5367,494,441,73
227,3771,7420,5375,494,441,73
724,3605,7312,5238,494,441,73
704,3733,7390,5341,494,441,73
77,3720,7339,5309,494,441,73
633,3694,7389,5321,494,441,73
715,3634,7407,5300,494,441,73
1062,3788,7403,5375,494,441,73
207,3727,7320,5303,494,441,73
813,3703,7254,5258,494,441,73
887,3698,7263,5260,494,441,73
799,3617,7218,5197,494,441,73
424,3557,7232,5174,494,441,73
512,3587,7268,5207,494,441,73
99,3611,7304,5237,494,441,73
1224,3644,7523,5363,494,441,73
923,3635,7310,5252,494,441,73
127,3593,7238,5195,494,441,73
976,3727,7532,5409,494,441,73
33,3652,7573,5392,494,441,73
388,3604,7701,5432,494,441,73
145,3579,7530,5334,494,441,73
48,3711,7648,5459,494,441,73
1104,3637,7296,5246,494,441,73
591,3624,7449,5316,494,441,73
294,3661,7334,5277,494,441,73
1119,3704,7345,5304,494,441,73
98,3726,7375,5330,494,441,73
22,3833,7572,5482,494,441,73
668,3727,7298,5292,494,441,73
170,3625,7354,5269,494,441,73
679,3580,7175,5157,494,441,73
139,3732,7291,5291,494,441,73
1273,3596,7383,5269,494,441,73
692,3580,7227,5183,494,441,73
66,3589,7414,5281,494,441,73
885,3857,7484,5450,494,441,71
148,3567,7596,5361,494,441,73
803,3599,7344,5251,494,441,73
1120,3712,7307,5289,494,441,73
360,3753,7300,5306,494,441,73
341,3584,7353,5248,494,441,73
1245,3559,7238,5178,494,441,73
1214,3795,7452,5403,494,441,73
74,3627,7356,5271,494,441,73
1177,3732,7257,5274,494,441,73
841,3654,7163,5188,494,441,73
1081,3863,7442,5432,494,441,73
399,3567,7308,5217,494,441,73
1456,3695,7346,5300,494,441,73
39,3651,7178,5194,494,441,73
1448,3621,7456,5318,494,441,73
302,3595,7382,5268,494,441,73
45,3715,7596,5435,494,441,73
1014,3656,7437,5326,494,441,73
639,3926,7497,5491,494,441,72
358,3603,7282,5222,494,441,73
1173,3784,7625,5484,494,441,73
107,3749,7432,5370,494,441,73
334,3617,7318,5247,494,441,73
533,3671,7352,5291,494,441,73
541,3673,7432,5332,494,441,73
383,3632,7381,5286,494,441,73
485,3671,7452,5341,494,441,73
690,3676,7315,5275,494,441,73
276,3694,7389,5321,494,441,73
560,3684,7245,5244,494,441,73
556,3650,7455,5332,494,441,73
157,3686,7403,5324,494,441,73
944,3685,7528,5386,494,441,73
1222,3590,7313,5231,494,441,73
47,3690,7459,5354,494,441,73
790,3654,7383,5298,494,441,73
743,3692,7433,5342,494,441,73
1280,3687,7286,5266,494,441,73
330,3701,7314,5287,494,441,73
319,3690,7323,5286,494,441,73
524,3633,7218,5205,494,441,73
476,3725,7442,5363,494,441,72
1130,3631,7272,5231,494,441,73
614,3685,7512,5378,494,441,73
180,3743,7208,5255,494,441,73
664,3638,7405,5301,494,441,73
1492,3647,7354,5280,494,441,73
781,3709,7188,5228,494,441,73
579,3765,7434,5379,494,441,73
807,3597,7556,5356,494,441,73
129,3589,7164,5156,494,441,73
369,3711,7418,5344,494,441,73
1141,3654,7387,5300,494,441,73
948,3627,7328,5257,494,441,73
705,3648,7427,5317,494,441,73
1393,3747,7306,5306,494,441,73
415,3584,7559,5351,494,441,73
106,3643,7320,5261,494,441,73
974,3639,7342,5270,494,441,73
826,3683,7316,5279,494,441,73
1024,3725,7406,5345,494,441,73
575,3679,7270,5254,494,441,73
204,3742,7443,5372,494,441,73
1046,3722,7269,5275,494,441,73
1105,3732,7281,5286,494,441,73
1168,3612,7329,5250,494,441,73
480,3711,7218,5244,494,441,73
1252,3570,7237,5183,494,441,73
1422,3582,7367,5254,494,441,73
