sid,BUFF,NOT,AND,PI,PO,LP
6,76479,137054,104372,4962,4789,40
4,75647,137738,104298,4962,4789,40
9,74701,135580,102746,4962,4789,40
7,75632,134919,102881,4962,4789,40
11,73903,137270,103192,4962,4789,40
10,73925,137830,103483,4962,4789,40
14,75044,137047,103651,4962,4789,40
12,76237,136586,104017,4962,4789,40
16,74607,136196,103007,4962,4789,40
15,73851,137896,103479,4962,4789,40
19,74355,137920,103743,4962,4789,40
17,73160,138295,103333,4962,4789,40
23,75401,134968,102790,4962,4789,40
22,75459,138540,104605,4962,4789,40
26,72869,138576,103328,4962,4789,40
24,75497,137220,103964,4962,4789,40
28,73529,137852,103296,4962,4789,40
27,75418,135737,103183,4962,4789,40
30,76212,138591,105007,4962,4789,40
29,75780,135299,103145,4962,4789,40
32,76097,136282,103795,4962,4789,40
31,75029,136018,103129,4962,4789,40
34,73520,138307,103519,4962,4789,40
33,74526,138531,104134,4962,4789,40
38,74386,137289,103443,4962,4789,40
36,75237,138254,104351,4962,4789,40
40,75941,137434,104293,4962,4789,40
39,74438,137967,103808,4962,4789,40
47,75445,136220,103438,4962,4789,40
44,74073,137622,103453,4962,4789,40
49,74722,136655,103294,4962,4789,40
48,74552,141471,105617,4962,4789,40
55,76392,136299,103951,4962,4789,40
51,73613,137196,103010,4962,4789,40
57,74405,138872,104244,4962,4789,40
56,75412,136363,103493,4962,4789,40
60,74106,138279,103798,4962,4789,40
58,74524,138755,104245,4962,4789,40
62,73254,138301,103383,4962,4789,40
61,73297,137012,102760,4962,4789,40
66,74033,140994,105119,4962,4789,40
64,75748,134803,102881,4962,4789,40
69,75366,135227,102902,4962,4789,40
67,75767,135868,103423,4962,4789,40
71,74370,138109,103845,4962,4789,40
70,73026,137633,102935,4962,4789,40
74,75825,135778,103407,4962,4789,40
73,74743,138592,104273,4962,4789,40
78,75649,136172,103516,4962,4789,40
75,75758,135019,102994,4962,4789,40
80,74579,135862,102826,4962,4789,40
79,74812,136101,103062,4962,4789,40
84,76460,135433,103552,4962,4789,40
83,75585,135240,103018,4962,4789,40
87,75018,138223,104226,4962,4789,40
85,73850,137003,103032,4962,4789,40
90,74667,135480,102679,4962,4789,40
89,75058,136357,103313,4962,4789,40
96,75150,135779,103070,4962,4789,40
91,73311,138456,103489,4962,4789,40
98,73802,139395,104204,4962,4789,40
97,75077,136240,103264,4962,4789,40
100,73999,136846,103028,4962,4789,40
99,74030,137465,103353,4962,4789,40
102,73418,138279,103454,4962,4789,40
101,74310,140395,104958,4962,4789,40
104,76130,136223,103782,4962,4789,40
103,73578,138859,103824,4962,4789,40
106,74732,137321,103632,4962,4789,40
105,77233,134868,103656,4962,4789,40
109,76597,136104,103956,4962,4789,40
108,75469,137666,104173,4962,4789,40
111,74246,137755,103606,4962,4789,40
110,74095,137186,103246,4962,4789,40
114,74369,137444,103512,4962,4789,40
113,75139,137190,103770,4962,4789,40
116,75083,136158,103226,4962,4789,40
115,74968,138559,104369,4962,4789,40
118,73926,137759,103448,4962,4789,40
117,75128,135929,103134,4962,4789,40
120,74421,137710,103671,4962,4789,40
119,75282,136915,103704,4962,4789,40
126,73249,139032,103746,4962,4789,40
122,73434,138853,103749,4962,4789,40
133,75295,136520,103513,4962,4789,40
130,73859,137440,103255,4962,4789,40
136,75490,137219,103960,4962,4789,40
134,76467,136862,104270,4962,4789,40
138,74608,136953,103386,4962,4789,40
137,76382,136503,104048,4962,4789,40
141,72807,139080,103549,4962,4789,40
139,74027,139296,104267,4962,4789,40
143,75023,137940,104087,4962,4789,40
142,75093,137048,103676,4962,4789,40
147,76001,134876,103044,4962,4789,40
144,74655,140274,105070,4962,4789,40
151,73852,137445,103254,4962,4789,40
148,73282,138307,103400,4962,4789,40
154,75448,135371,103015,4962,4789,40
153,75118,136911,103620,4962,4789,40
156,76767,138086,105032,4962,4789,40
155,75470,135759,103220,4962,4789,40
158,73693,138716,103810,4962,4789,40
157,74255,137404,103435,4962,4789,40
162,74745,139192,104574,4962,4789,40
161,73289,138318,103409,4962,4789,40
164,76788,135933,103966,4962,4789,40
163,77206,136585,104501,4962,4789,40
167,73762,136385,102679,4962,4789,40
165,75389,134912,102756,4962,4789,40
169,73480,136983,102837,4962,4789,40
168,75924,136161,103648,4962,4789,40
173,73280,137293,102892,4962,4789,40
172,77107,137434,104876,4962,4789,40
175,76147,135688,103523,4962,4789,40
174,76774,138231,105108,4962,4789,40
180,74242,137277,103365,4962,4789,40
179,76082,136485,103889,4962,4789,40
184,75609,135738,103279,4962,4789,40
181,74696,138627,104267,4962,4789,40
186,74234,139363,104404,4962,4789,40
185,74584,136433,103114,4962,4789,40
189,74908,138367,104243,4962,4789,40
188,75581,135564,103178,4962,4789,40
191,74558,135687,102728,4962,4789,40
190,72982,138697,103445,4962,4789,40
193,75993,135334,103269,4962,4789,40
192,73807,136936,102977,4962,4789,40
195,73049,137834,103047,4962,4789,40
194,75934,135939,103542,4962,4789,40
198,74621,136548,103190,4962,4789,40
196,75425,136762,103699,4962,4789,40
200,74341,138298,103925,4962,4789,40
199,73951,136802,102982,4962,4789,40
204,74030,138175,103708,4962,4789,40
202,73581,137162,102977,4962,4789,40
208,74635,140368,105107,4962,4789,40
206,75675,136342,103614,4962,4789,40
212,76236,135713,103580,4962,4789,40
209,74673,138326,104105,4962,4789,40
215,74260,138491,103981,4962,4789,40
213,73801,138426,103719,4962,4789,40
217,74718,138277,104103,4962,4789,40
216,75228,136621,103530,4962,4789,40
219,74627,136416,103127,4962,4789,40
218,76640,135757,103804,4962,4789,40
221,74056,137243,103255,4962,4789,40
220,75598,135759,103284,4962,4789,40
223,74444,137911,103783,4962,4789,40
222,75551,137332,104047,4962,4789,40
226,73712,138091,103507,4962,4789,40
224,76039,135528,103389,4962,4789,40
228,75523,135832,103283,4962,4789,40
227,75255,136540,103503,4962,4789,40
230,74213,138032,103728,4962,4789,40
229,73673,137990,103437,4962,4789,40
232,76050,136901,104081,4962,4789,40
231,73005,138470,103343,4962,4789,40
235,74768,138015,103997,4962,4789,40
233,73121,137516,102924,4962,4789,40
239,74264,137831,103653,4962,4789,40
237,74649,135540,102700,4962,4789,40
244,75046,136051,103154,4962,4789,40
243,73911,137536,103329,4962,4789,40
245,74071,137958,103620,4962,4789,40
246,74443,140090,104872,4962,4789,40
247,75852,137731,104397,4962,4789,40
248,75782,135179,103086,4962,4789,40
255,76076,134943,103115,4962,4789,40
256,73667,137046,102962,4962,4789,40
258,73548,137175,102967,4962,4789,40
260,75762,136341,103657,4962,4789,40
261,74043,137032,103143,4962,4789,40
262,74087,137528,103413,4962,4789,40
263,75727,136224,103581,4962,4789,40
264,75060,137121,103696,4962,4789,40
266,74455,136424,103045,4962,4789,40
267,74602,138039,103926,4962,4789,40
268,75264,140533,105504,4962,4789,40
269,73478,137405,103047,4962,4789,40
270,73511,137856,103289,4962,4789,40
271,75098,136403,103356,4962,4789,40
273,76090,135887,103594,4962,4789,40
274,75761,135462,103217,4962,4789,40
276,73924,136201,102668,4962,4789,40
278,73884,138961,104028,4962,4789,40
279,74492,138007,103855,4962,4789,40
281,73510,139431,104076,4962,4789,40
282,75799,136622,103816,4962,4789,40
283,74863,136304,103189,4962,4789,40
286,73945,136382,102769,4962,4789,40
291,73949,137356,103258,4962,4789,40
292,75513,134964,102844,4962,4789,40
293,73863,137294,103184,4962,4789,40
295,74973,135976,103080,4962,4789,40
297,73789,136492,102746,4962,4789,40
298,74989,136668,103434,4962,4789,40
299,75211,136830,103626,4962,4789,40
300,73647,136992,102925,4962,4789,40
302,75988,135231,103215,4962,4789,40
305,74147,138488,103923,4962,4789,40
306,74023,137360,103297,4962,4789,40
308,75225,136844,103640,4962,4789,40
310,73855,137348,103207,4962,4789,40
315,76247,134986,103222,4962,4789,40
316,75426,136701,103669,4962,4789,40
317,75209,137892,104156,4962,4789,40
318,73139,138220,103285,4962,4789,40
319,74835,137418,103732,4962,4789,40
321,73606,137123,102970,4962,4789,40
323,73163,137484,102929,4962,4789,40
