sid,BUFF,NOT,AND,PI,PO,LP
5,9857,10899,9897,1187,962,36
3,8645,10821,9252,1187,962,36
8,9202,10050,9145,1187,962,35
6,9336,9944,9159,1187,962,36
11,9059,10177,9137,1187,962,36
9,9098,10228,9182,1187,962,35
13,9296,10316,9325,1187,962,35
12,8997,9795,8915,1187,962,35
15,9505,10519,9531,1187,962,35
14,9428,10052,9259,1187,962,36
17,9404,10242,9342,1187,962,35
16,9013,9765,8908,1187,962,35
19,9404,10224,9333,1187,962,36
18,9169,10527,9367,1187,962,35
21,9000,10462,9250,1187,962,34
20,9984,10668,9845,1187,962,35
23,9720,10548,9653,1187,962,36
22,9069,10657,9382,1187,962,36
25,9137,10483,9329,1187,962,35
24,9217,9813,9034,1187,962,36
27,8781,10595,9207,1187,962,35
26,8679,10749,9233,1187,962,36
29,8601,10765,9202,1187,962,36
28,8509,10971,9259,1187,962,34
31,8470,10780,9144,1187,962,35
30,8921,10479,9219,1187,962,34
33,9142,9888,9034,1187,962,34
32,9769,10377,9592,1187,962,35
35,9243,10201,9241,1187,962,34
34,8841,10263,9071,1187,962,37
37,9506,10482,9513,1187,962,35
36,9157,11313,9754,1187,962,35
39,8904,9834,8888,1187,962,35
38,9598,10748,9692,1187,962,35
41,8970,9686,8847,1187,962,35
40,8882,9614,8767,1187,962,35
43,8523,10795,9178,1187,962,35
42,8997,9769,8902,1187,962,35
45,9344,11420,9901,1187,962,35
44,9847,10639,9762,1187,962,36
47,9345,10231,9307,1187,962,34
46,9160,10164,9181,1187,962,35
49,9013,10657,9354,1187,962,35
48,8488,10818,9172,1187,962,35
51,8427,11035,9250,1187,962,35
50,8880,11294,9606,1187,962,35
53,8253,10735,9013,1187,962,35
52,8967,10541,9273,1187,962,35
55,9034,10010,9041,1187,962,35
54,9030,10076,9072,1187,962,35
57,9136,10204,9189,1187,962,35
56,9010,9792,8920,1187,962,34
59,8339,10789,9083,1187,962,35
58,9485,10255,9389,1187,962,36
61,9404,10560,9501,1187,962,35
60,9364,10274,9338,1187,962,35
63,9559,10417,9507,1187,962,35
62,9150,9938,9063,1187,962,36
65,9190,9932,9080,1187,962,35
64,9392,10128,9279,1187,962,36
67,10478,11006,10261,1187,962,36
66,8546,10838,9211,1187,962,35
69,8584,10936,9279,1187,962,34
68,9014,10046,9049,1187,962,35
71,9000,9970,9004,1187,962,36
70,8648,10300,8993,1187,962,37
73,9293,11327,9829,1187,962,35
72,9078,9830,8973,1187,962,34
75,8730,10828,9298,1187,962,35
