sid,BUFF,NOT,AND,PI,PO,LP
5,15644,23053,17770,3429,3157,28
3,14522,24181,17773,3429,3157,28
8,15723,22980,17773,3429,3157,28
6,15736,23003,17791,3429,3157,28
11,15442,23153,17719,3429,3157,27
9,15590,22963,17698,3429,3157,28
13,15429,23138,17705,3429,3157,27
12,15736,22825,17702,3429,3157,28
15,15869,22782,17747,3429,3157,28
14,14293,24306,17721,3429,3157,27
17,14531,24094,17734,3429,3157,28
16,16594,21987,17712,3429,3157,28
19,15431,23240,17757,3429,3157,29
18,14529,24194,17783,3429,3157,27
21,14573,24062,17739,3429,3157,28
20,14579,24160,17791,3429,3157,27
23,14534,24087,17732,3429,3157,28
22,15627,23148,17809,3429,3157,28
25,15629,23074,17773,3429,3157,28
24,15649,22984,17738,3429,3157,28
27,15579,22994,17708,3429,3157,27
26,14439,24190,17736,3429,3157,27
29,14446,24139,17714,3429,3157,27
28,14329,24282,17727,3429,3157,26
31,14449,24140,17716,3429,3157,27
30,15564,23213,17810,3429,3157,27
33,15953,22782,17789,3429,3157,28
32,14655,23994,17746,3429,3157,27
35,15589,23010,17721,3429,3157,27
34,14490,24231,17782,3429,3157,27
37,14548,24113,17752,3429,3157,28
36,14667,24048,17779,3429,3157,27
39,15441,23106,17695,3429,3157,28
38,15468,23165,17738,3429,3157,28
41,16638,21995,17738,3429,3157,28
40,16245,22414,17751,3429,3157,27
43,15695,22984,17761,3429,3157,28
42,16128,22455,17713,3429,3157,28
45,14380,24265,17744,3429,3157,28
44,14413,24242,17749,3429,3157,28
47,15525,23116,17742,3429,3157,27
46,15572,23083,17749,3429,3157,28
49,16095,22518,17728,3429,3157,27
48,15603,23272,17859,3429,3157,28
51,14412,24225,17740,3429,3157,26
50,15507,23236,17793,3429,3157,28
53,14272,24279,17697,3429,3157,27
52,15539,23020,17701,3429,3157,27
55,15789,22844,17738,3429,3157,28
54,16472,22167,17741,3429,3157,28
57,15547,23158,17774,3429,3157,28
56,14948,23669,17730,3429,3157,27
59,14294,24307,17722,3429,3157,28
58,15502,23287,17816,3429,3157,27
61,14848,23735,17713,3429,3157,28
60,16052,22655,17775,3429,3157,27
63,15031,23574,17724,3429,3157,29
62,14498,24103,17722,3429,3157,27
65,14342,24289,17737,3429,3157,27
64,15717,22890,17725,3429,3157,27
67,14673,23982,17749,3429,3157,28
66,15591,23206,17820,3429,3157,28
69,14512,24109,17732,3429,3157,28
68,15118,23491,17726,3429,3157,27
71,15996,22639,17739,3429,3157,27
