sid,BUFF,NOT,AND,PI,PO,LP
12,75518,88491,76606,11302,10797,42
11,64720,99903,76913,11302,10797,39
1002,73792,90437,76716,11302,10797,43
1001,63920,100523,76823,11302,10797,41
1004,74590,89725,76759,11302,10797,41
1003,56232,108119,76777,11302,10797,43
1006,64490,99909,76801,11302,10797,43
1005,56306,108597,77053,11302,10797,37
1008,64518,100007,76864,11302,10797,43
1007,74667,89506,76688,11302,10797,43
1010,64633,99764,76800,11302,10797,42
1009,73065,91186,76727,11302,10797,43
102,55957,108654,76907,11302,10797,40
1011,74345,90030,76789,11302,10797,43
1012,56895,107832,76965,11302,10797,37
1013,63788,100695,76843,11302,10797,43
1014,64474,99525,76601,11302,10797,41
1015,56826,107367,76698,11302,10797,43
1016,66466,97655,76662,11302,10797,42
1017,74448,89525,76588,11302,10797,44
1018,74167,89790,76580,11302,10797,43
1019,66042,99457,77351,11302,10797,42
1020,74227,90524,76977,11302,10797,43
103,64181,100762,77073,11302,10797,42
1021,56857,107758,76909,11302,10797,43
1022,56071,108444,76859,11302,10797,43
1023,56863,107586,76826,11302,10797,43
1024,75496,89013,76856,11302,10797,42
1025,74815,89692,76855,11302,10797,42
1026,65120,98891,76607,11302,10797,43
1027,74326,89801,76665,11302,10797,42
1028,73518,90571,76646,11302,10797,43
1029,56158,108267,76814,11302,10797,42
1030,57048,107463,76857,11302,10797,39
104,75415,88896,76757,11302,10797,40
1031,75992,88557,76876,11302,10797,40
1032,67112,98249,77282,11302,10797,43
1033,65394,100483,77540,11302,10797,41
1034,73399,90620,76611,11302,10797,42
1035,63985,100610,76899,11302,10797,40
1036,65501,99400,77052,11302,10797,41
1037,65729,98192,76562,11302,10797,42
1038,65564,98993,76880,11302,10797,43
1039,75538,88975,76858,11302,10797,42
1040,64490,100049,76871,11302,10797,40
105,66378,100803,78192,11302,10797,43
1041,65381,100644,77614,11302,10797,41
1042,74623,89644,76735,11302,10797,42
1043,56865,107492,76780,11302,10797,42
1044,74409,89864,76738,11302,10797,42
1045,64749,99612,76782,11302,10797,43
1046,75130,88981,76657,11302,10797,42
1047,65885,98228,76658,11302,10797,42
1048,73646,90491,76670,11302,10797,43
1049,73923,90536,76831,11302,10797,41
1050,73546,90903,76826,11302,10797,42
106,66866,97461,76765,11302,10797,43
1051,55894,108151,76624,11302,10797,42
1052,66757,98326,77143,11302,10797,43
1053,73389,90578,76585,11302,10797,42
1054,74393,89590,76593,11302,10797,42
1055,73565,90610,76689,11302,10797,43
1056,73488,90725,76708,11302,10797,43
1057,64971,100226,77200,11302,10797,41
1058,66866,97577,76823,11302,10797,43
1059,74566,89731,76750,11302,10797,43
1060,57106,107897,77103,11302,10797,40
107,66147,99488,77419,11302,10797,38
1061,56601,107736,76770,11302,10797,43
1062,74548,90549,77150,11302,10797,42
1063,74090,90903,77098,11302,10797,43
1064,65792,99469,77232,11302,10797,43
1065,73541,90524,76634,11302,10797,41
1066,75353,88776,76666,11302,10797,42
1067,56098,108199,76750,11302,10797,42
1068,66060,98119,76691,11302,10797,43
1069,66917,97342,76731,11302,10797,40
1070,65718,98201,76561,11302,10797,42
108,75072,89185,76730,11302,10797,42
1071,75473,88746,76711,11302,10797,43
1072,65137,99046,76693,11302,10797,43
1073,65249,99198,76825,11302,10797,43
1074,64585,99910,76849,11302,10797,42
1075,67018,97535,76878,11302,10797,41
1076,56940,107669,76906,11302,10797,43
1077,74879,89272,76677,11302,10797,42
1078,65495,98872,76785,11302,10797,43
1079,75087,89214,76752,11302,10797,43
1080,73839,90576,76809,11302,10797,41
109,65585,99330,77059,11302,10797,39
1081,65261,100628,77546,11302,10797,43
1082,75219,89176,76799,11302,10797,42
1083,74508,90429,77070,11302,10797,42
1084,65136,100493,77416,11302,10797,42
1085,64676,99795,76837,11302,10797,42
1086,74531,89876,76805,11302,10797,43
1087,65352,100675,77615,11302,10797,39
1088,74894,89873,76985,11302,10797,41
1089,64549,99796,76774,11302,10797,43
1090,66976,97505,76842,11302,10797,43
110,73641,90614,76729,11302,10797,43
1091,55942,108863,77004,11302,10797,42
1092,74425,90774,77201,11302,10797,43
1093,73787,90604,76797,11302,10797,40
1094,74020,90129,76676,11302,10797,43
1095,65975,98144,76661,11302,10797,43
1096,65360,100419,77491,11302,10797,37
1097,64709,99494,76703,11302,10797,42
1098,74178,89667,76524,11302,10797,43
1099,64385,100022,76805,11302,10797,42
1100,66034,98257,76747,11302,10797,43
101,67019,97712,76967,11302,10797,42
111,63687,100376,76633,11302,10797,42
1101,65247,99272,76861,11302,10797,43
1102,66499,98164,76933,11302,10797,43
1103,65377,99152,76866,11302,10797,43
1104,64758,100083,77022,11302,10797,42
