sid,BUFF,NOT,AND,PI,PO,LP
1253,407,890,586,135,125,9
36,420,891,593,135,125,9
574,550,749,587,135,125,9
1074,597,700,586,135,125,9
1195,514,789,589,135,125,9
861,475,820,585,135,125,9
903,475,822,586,135,125,9
184,509,800,592,135,125,9
531,613,696,592,135,125,9
699,475,826,588,135,125,9
90,607,698,590,135,125,9
792,516,797,594,135,125,9
229,418,881,587,135,125,9
1200,603,690,584,135,125,9
440,516,791,591,135,125,9
557,426,883,592,135,125,9
1189,478,825,589,135,125,9
269,610,697,591,135,125,9
1149,509,786,585,135,125,9
1472,419,890,592,135,125,9
265,480,823,589,135,125,9
1202,477,824,588,135,125,9
994,603,702,590,135,125,9
1114,509,788,586,135,125,9
514,509,794,589,135,125,9
250,608,693,588,135,125,9
980,602,701,589,135,125,9
709,475,830,590,135,125,9
402,416,889,590,135,125,9
253,549,756,590,135,125,9
667,615,692,591,135,125,9
156,549,752,588,135,125,9
643,473,822,585,135,125,9
177,488,813,588,135,125,9
869,607,694,588,135,125,9
640,414,883,586,135,125,9
1289,508,787,585,135,125,9
234,549,752,588,135,125,9
683,605,700,590,135,125,9
694,415,882,586,135,125,9
741,613,686,587,135,125,9
1226,513,788,588,135,125,9
315,511,786,586,135,125,9
1264,512,785,586,135,125,9
1254,514,799,594,135,125,9
1242,481,822,589,135,125,9
412,417,884,588,135,125,9
419,513,786,587,135,125,9
408,511,800,593,135,125,9
231,407,894,588,135,125,9
956,473,818,583,135,125,9
1042,608,693,588,135,125,9
60,609,692,588,135,125,9
930,512,793,590,135,125,9
34,543,754,586,135,125,9
845,551,750,588,135,125,9
423,548,753,588,135,125,9
820,483,826,592,135,125,9
1282,517,792,592,135,125,9
288,479,828,591,135,125,9
949,553,744,586,135,125,9
1476,483,810,584,135,125,9
135,604,693,586,135,125,9
239,616,693,592,135,125,9
617,406,889,585,135,125,9
328,603,698,588,135,125,9
483,478,823,588,135,125,9
933,411,890,588,135,125,9
697,492,815,591,135,125,9
809,419,886,590,135,125,9
1083,553,756,592,135,125,9
751,484,819,589,135,125,9
227,607,698,590,135,125,9
724,513,788,588,135,125,9
704,415,890,590,135,125,9
77,609,694,589,135,125,9
633,605,700,590,135,125,9
715,605,702,591,135,125,9
1062,557,756,594,135,125,9
207,414,891,590,135,125,9
813,511,790,588,135,125,9
887,484,823,591,135,125,9
799,510,795,590,135,125,9
424,509,784,584,135,125,9
512,511,794,590,135,125,9
99,415,886,588,135,125,9
1224,554,751,590,135,125,9
923,512,795,591,135,125,9
127,511,792,589,135,125,9
976,548,751,587,135,125,9
33,612,695,591,135,125,9
388,609,690,587,135,125,9
145,519,782,588,135,125,9
48,413,890,589,135,125,9
1104,550,755,590,135,125,9
591,552,755,591,135,125,9
294,474,823,586,135,125,9
1119,483,826,592,135,125,9
98,472,823,585,135,125,9
22,485,822,591,135,125,9
668,609,692,588,135,125,9
170,608,689,586,135,125,9
679,603,700,589,135,125,9
139,550,751,588,135,125,9
1273,599,692,583,135,125,9
692,519,786,590,135,125,9
66,413,886,587,135,125,9
885,418,885,589,135,125,9
148,418,885,589,135,125,9
803,607,694,588,135,125,9
1120,477,824,588,135,125,9
360,607,698,590,135,125,9
341,610,691,588,135,125,9
1245,515,794,592,135,125,9
1214,549,752,588,135,125,9
74,509,790,587,135,125,9
1177,612,691,589,135,125,9
841,479,828,591,135,125,9
1081,561,752,594,135,125,9
399,610,693,589,135,125,9
1456,609,698,591,135,125,9
39,512,787,587,135,125,9
1448,413,892,590,135,125,9
302,510,791,588,135,125,9
45,418,881,587,135,125,9
1014,602,697,587,135,125,9
639,409,886,585,135,125,9
358,605,690,585,135,125,9
1173,549,750,587,135,125,9
107,514,795,592,135,125,9
