sid,BUFF,NOT,AND,PI,PO,LP
1253,11837,16653,13724,1943,1042,76
36,12766,15660,13692,1943,1042,75
574,13013,14959,13465,1943,1042,75
1074,13240,14956,13577,1943,1042,75
1195,11769,17117,13922,1943,1042,75
861,13272,14652,13441,1943,1042,75
903,13010,14810,13389,1943,1042,75
184,11402,17112,13736,1943,1042,75
531,11352,17198,13754,1943,1042,76
699,11947,16663,13784,1943,1042,75
90,12751,14821,13265,1943,1042,75
792,13096,14810,13432,1943,1042,75
229,12962,15038,13479,1943,1042,75
1200,13121,14769,13424,1943,1042,75
440,11378,17128,13732,1943,1042,75
557,13185,14923,13533,1943,1042,75
1189,13092,14954,13502,1943,1042,75
269,13216,14834,13504,1943,1042,75
1149,11463,17281,13851,1943,1042,75
1472,13186,14832,13488,1943,1042,75
265,11984,16622,13782,1943,1042,75
1202,12004,16924,13943,1943,1042,76
994,13138,14728,13412,1943,1042,75
1114,11547,17113,13809,1943,1042,75
514,13184,14844,13493,1943,1042,75
250,12965,14779,13351,1943,1042,76
980,11343,17199,13750,1943,1042,75
709,13039,14893,13445,1943,1042,76
402,12761,15067,13393,1943,1042,76
253,13266,14976,13600,1943,1042,75
667,12779,15093,13415,1943,1042,75
156,12390,16268,13808,1943,1042,76
643,13111,14775,13422,1943,1042,75
177,12377,16003,13669,1943,1042,75
869,11442,17232,13816,1943,1042,75
640,11967,16685,13805,1943,1042,75
1289,11373,17175,13753,1943,1042,75
234,12964,14788,13355,1943,1042,75
683,11310,17292,13780,1943,1042,75
694,12770,14962,13345,1943,1042,75
741,12808,14858,13312,1943,1042,75
1226,11388,17100,13723,1943,1042,75
315,13065,14773,13398,1943,1042,75
1264,11622,16952,13766,1943,1042,75
1254,11508,17386,13926,1943,1042,76
1242,12946,14762,13333,1943,1042,75
412,12859,15025,13421,1943,1042,75
419,13177,14749,13442,1943,1042,75
408,13143,14723,13412,1943,1042,75
231,11866,16712,13768,1943,1042,75
956,11910,16726,13797,1943,1042,75
1042,11355,17303,13808,1943,1042,75
60,11315,17273,13773,1943,1042,75
930,12742,15268,13484,1943,1042,75
34,11914,16596,13734,1943,1042,75
845,11772,16634,13682,1943,1042,75
423,12963,14909,13415,1943,1042,75
820,12947,14699,13302,1943,1042,75
1282,13262,14808,13514,1943,1042,75
288,11956,16584,13749,1943,1042,75
949,12524,15362,13422,1943,1042,75
1476,12867,14955,13390,1943,1042,75
135,12930,14920,13404,1943,1042,75
239,11343,17171,13736,1943,1042,75
617,12976,14914,13424,1943,1042,75
328,12629,15307,13447,1943,1042,75
483,13041,14719,13359,1943,1042,76
933,13048,15088,13547,1943,1042,75
697,12981,14921,13430,1943,1042,75
809,12992,15020,13485,1943,1042,75
1083,13010,15258,13613,1943,1042,76
751,12955,14941,13427,1943,1042,76
227,11321,17339,13809,1943,1042,75
724,13123,14817,13449,1943,1042,75
704,12909,14955,13411,1943,1042,76
77,11333,17253,13772,1943,1042,76
633,11370,17262,13795,1943,1042,75
715,11351,17201,13755,1943,1042,75
1062,13098,15498,13777,1943,1042,76
207,12905,14971,13417,1943,1042,75
813,11402,17114,13737,1943,1042,75
887,12924,14928,13405,1943,1042,76
799,11371,17281,13805,1943,1042,75
424,12995,14683,13318,1943,1042,75
512,12977,14693,13314,1943,1042,75
99,12949,14955,13431,1943,1042,75
1224,11865,17171,13997,1943,1042,76
923,13318,14640,13458,1943,1042,75
127,12968,14728,13327,1943,1042,75
976,13021,14905,13442,1943,1042,75
33,11470,17434,13931,1943,1042,75
388,11370,17340,13834,1943,1042,75
145,13164,14728,13425,1943,1042,75
48,11986,17460,14202,1943,1042,76
1104,11800,17126,13942,1943,1042,76
591,12145,16665,13884,1943,1042,75
294,11974,16680,13806,1943,1042,75
1119,11971,16747,13838,1943,1042,75
98,11948,16784,13845,1943,1042,75
22,11948,16910,13908,1943,1042,75
668,11291,17187,13718,1943,1042,75
170,11390,17162,13755,1943,1042,75
679,12895,14701,13277,1943,1042,75
139,12847,14889,13347,1943,1042,75
1273,11384,17172,13757,1943,1042,75
692,13096,14762,13408,1943,1042,76
66,11747,17083,13894,1943,1042,76
885,13317,15053,13664,1943,1042,75
148,12967,14917,13421,1943,1042,75
803,11358,17114,13715,1943,1042,75
1120,12936,14946,13420,1943,1042,75
360,12927,14923,13404,1943,1042,75
341,11349,17241,13774,1943,1042,76
1245,13248,14892,13549,1943,1042,75
1214,12842,15030,13415,1943,1042,75
74,11467,17143,13784,1943,1042,75
1177,12858,15372,13594,1943,1042,76
841,12346,16592,13948,1943,1042,75
1081,13097,15417,13736,1943,1042,76
399,11381,17125,13732,1943,1042,75
1456,11411,17177,13773,1943,1042,75
39,12939,14681,13289,1943,1042,76
1448,11887,16715,13780,1943,1042,75
302,13201,14763,13461,1943,1042,75
