sid,BUFF,NOT,AND,PI,PO,LP
1253,673,1079,810,164,132,11
36,675,1093,818,164,132,11
574,764,1002,817,164,132,12
1074,778,984,815,164,132,12
1195,780,980,814,164,132,11
861,678,1070,808,164,132,11
903,701,1057,813,164,132,11
184,767,1001,818,164,132,11
531,743,1005,808,164,132,12
699,655,1089,806,164,132,12
90,757,991,808,164,132,12
792,777,991,818,164,132,11
229,685,1077,815,164,132,12
1200,771,987,813,164,132,12
440,751,999,809,164,132,12
557,677,1091,818,164,132,11
1189,684,1080,816,164,132,11
269,781,983,816,164,132,11
1149,771,981,810,164,132,11
1472,650,1116,817,164,132,11
265,657,1091,808,164,132,12
1202,679,1073,810,164,132,11
994,777,989,817,164,132,11
1114,777,987,816,164,132,11
514,766,988,811,164,132,11
250,764,984,808,164,132,11
980,744,1000,806,164,132,12
709,695,1075,819,164,132,11
402,712,1062,821,164,132,11
253,762,1000,815,164,132,11
667,775,997,820,164,132,11
156,750,1000,809,164,132,11
643,691,1073,816,164,132,12
177,745,999,806,164,132,11
869,777,981,813,164,132,12
640,667,1103,819,164,132,11
1289,749,995,806,164,132,12
234,719,1043,815,164,132,11
683,755,987,805,164,132,11
694,642,1120,815,164,132,11
741,782,994,822,164,132,11
1226,744,1002,807,164,132,12
315,775,987,815,164,132,11
1264,776,998,821,164,132,11
1254,755,1001,812,164,132,12
1242,692,1080,820,164,132,11
412,688,1080,818,164,132,11
419,771,985,812,164,132,12
408,775,985,814,164,132,11
231,655,1087,805,164,132,12
956,662,1082,806,164,132,12
1042,741,1003,806,164,132,12
60,777,993,819,164,132,11
930,766,978,806,164,132,11
34,735,1011,807,164,132,12
845,775,989,816,164,132,11
423,727,1035,815,164,132,12
820,659,1087,807,164,132,12
1282,775,993,818,164,132,11
288,664,1080,806,164,132,12
949,763,1003,817,164,132,11
1476,759,995,811,164,132,12
135,775,993,818,164,132,11
239,748,1002,809,164,132,12
617,680,1080,814,164,132,11
328,770,998,818,164,132,11
483,649,1113,815,164,132,12
933,691,1075,817,164,132,11
697,739,1009,808,164,132,12
809,678,1074,810,164,132,11
1083,763,1009,820,164,132,11
751,758,988,807,164,132,11
227,782,982,816,164,132,11
724,780,978,813,164,132,12
704,668,1072,804,164,132,11
77,781,985,817,164,132,11
633,778,988,817,164,132,11
715,755,993,808,164,132,12
1062,762,1012,821,164,132,11
207,673,1077,809,164,132,11
813,763,1001,816,164,132,11
887,662,1088,809,164,132,11
799,741,1001,805,164,132,12
424,748,1004,810,164,132,12
