sid,BUFF,NOT,AND,PI,PO,LP
1253,2918,3296,2988,254,238,31
36,2687,4007,3228,254,238,30
574,2761,3899,3211,254,238,30
1074,2529,4131,3211,254,238,30
1195,2562,4058,3191,254,238,30
861,2723,3931,3208,254,238,30
903,2795,3887,3222,254,238,30
184,2668,3528,2979,254,238,31
531,2826,3414,3001,254,238,31
699,2782,3440,2992,254,238,31
90,2739,3497,2999,254,238,32
792,2642,3736,3070,254,238,32
229,2607,4023,3196,254,238,30
1200,2522,4100,3192,254,238,30
440,2760,3452,2987,254,238,31
557,2627,4059,3224,254,238,30
1189,2675,3951,3194,254,238,30
269,2510,4114,3193,254,238,30
1149,2711,3973,3223,254,238,30
1472,2722,3934,3209,254,238,30
265,2743,3477,2991,254,238,31
1202,2669,3961,3196,254,238,30
994,2741,3893,3198,254,238,30
1114,2578,4044,3192,254,238,30
514,2806,3880,3224,254,238,30
250,2539,3691,2996,254,238,31
980,2684,3534,2990,254,238,31
709,2822,3862,3223,254,238,31
402,2867,3363,2996,254,238,32
253,2657,4035,3227,254,238,30
667,2721,3963,3223,254,238,30
156,2927,3759,3224,254,238,31
643,2698,3970,3215,254,238,30
177,2806,3880,3224,254,238,30
869,2664,3938,3182,254,238,30
640,2754,3844,3180,254,238,30
1289,2680,3514,2978,254,238,31
234,2647,3843,3126,254,238,30
683,2657,3571,2995,254,238,31
694,2613,3873,3124,254,238,30
741,2753,3851,3183,254,238,30
1226,2747,3449,2979,254,238,31
315,2626,4060,3224,254,238,30
1264,2689,3963,3207,254,238,30
1254,2871,3415,3024,254,238,32
1242,2739,3451,2976,254,238,31
412,2726,3872,3180,254,238,30
419,2503,4161,3213,254,238,30
408,2611,3715,3044,254,238,31
231,2834,3346,2971,254,238,31
956,2769,3401,2966,254,238,31
1042,2810,3424,2998,254,238,31
60,2576,3606,2972,254,238,31
930,2611,3835,3104,254,238,30
34,2773,3445,2990,254,238,31
845,2718,3462,2971,254,238,31
423,2708,3922,3196,254,238,30
820,2679,3553,2997,254,238,32
1282,2821,3871,3227,254,238,29
288,2770,3476,3004,254,238,31
949,2741,3965,3234,254,238,30
1476,2591,4075,3214,254,238,30
135,2757,3899,3209,254,238,30
239,2753,3507,3011,254,238,31
617,2758,3930,3225,254,238,29
328,2548,4072,3191,254,238,30
483,2655,3939,3178,254,238,30
933,2617,4017,3198,254,238,30
697,2695,3543,3000,254,238,32
809,2766,3926,3227,254,238,29
1083,2862,3356,2990,254,238,31
751,2822,3814,3199,254,238,31
227,2664,3586,3006,254,238,31
724,2544,4118,3212,254,238,30
704,2803,3883,3224,254,238,31
77,2690,3540,2996,254,238,31
633,2658,3594,3007,254,238,31
715,2616,3590,2984,254,238,31
1062,2874,3346,2991,254,238,32
207,2570,3654,2993,254,238,31
813,2782,3398,2971,254,238,31
887,2641,4041,3222,254,238,30
799,2636,3550,2974,254,238,31
424,2535,3711,3004,254,238,31
512,2589,3707,3029,254,238,31
99,2682,3692,3068,254,238,31
1224,2864,3350,2988,254,238,31
923,2868,3818,3224,254,238,31
127,2486,3750,2999,254,238,31
976,2684,3984,3215,254,238,30
33,2605,3613,2990,254,238,31
388,2685,3515,2981,254,238,31
145,2630,4056,3224,254,238,30
48,2868,3370,3000,254,238,31
1104,2646,4040,3224,254,238,30
591,2717,3913,3196,254,238,30
294,2711,3485,2979,254,238,31
1119,2860,3394,3008,254,238,31
98,2784,3434,2990,254,238,31
22,2766,3482,3005,254,238,31
668,2758,3438,2979,254,238,31
170,2617,3601,2990,254,238,31
679,2513,3759,3017,254,238,31
139,2646,3594,3001,254,238,32
1273,2681,3529,2986,254,238,31
692,2609,3633,3002,254,238,31
66,2870,3344,2988,254,238,31
885,2636,4048,3223,254,238,30
148,2607,4019,3194,254,238,30
803,2737,3859,3179,254,238,30
1120,2584,3782,3064,254,238,31
360,2984,3702,3224,254,238,29
341,2654,3556,2986,254,238,31
1245,2703,3683,3074,254,238,31
1214,2629,3683,3037,254,238,32
74,2638,3598,2999,254,238,31
1177,2691,4001,3227,254,238,31
841,2679,4001,3221,254,238,30
1081,2692,3670,3062,254,238,32
399,2636,3560,2979,254,238,31
1456,2722,3486,2985,254,238,31
39,2726,3958,3223,254,238,31
1448,2807,3437,3003,254,238,31
302,2676,4012,3225,254,238,30
45,2677,3987,3213,254,238,30
1014,2684,3968,3207,254,238,30
639,2730,3978,3235,254,238,30
358,2595,4085,3221,254,238,30
1173,2604,4020,3193,254,238,30
107,2791,3901,3227,254,238,30
334,2801,3863,3213,254,238,30
533,2871,3759,3196,254,238,31
541,2572,3650,2992,254,238,31
383,2788,3840,3195,254,238,30
485,2769,3475,3003,254,238,31
690,2780,3422,2982,254,238,31
276,2594,4094,3225,254,238,30
560,2746,3444,2976,254,238,31
556,2735,3513,3005,254,238,31
157,2562,4092,3208,254,238,30
944,2777,3923,3231,254,238,31
1222,2674,3954,3195,254,238,30
47,2781,3457,3000,254,238,31
790,2723,3963,3224,254,238,30
743,2556,3772,3045,254,238,31
1280,2716,3484,2981,254,238,31
330,2894,3370,3013,254,238,31
319,2809,3827,3199,254,238,30
524,2576,3806,3072,254,238,31
476,2705,3979,3223,254,238,30
1130,2652,3524,2969,254,238,31
614,2824,3862,3224,254,238,30
180,2831,3857,3225,254,238,30
664,2692,3966,3210,254,238,30
1492,2605,4075,3221,254,238,30
781,2715,3489,2983,254,238,31
579,2721,3881,3182,254,238,30
