sid,BUFF,NOT,AND,PI,PO,LP
1253,398,482,395,104,90,8
36,398,482,395,104,90,8
574,423,457,395,104,90,8
1074,347,533,395,104,90,8
1195,407,473,395,104,90,8
861,413,467,395,104,90,8
903,413,467,395,104,90,8
184,407,473,395,104,90,8
531,396,488,397,104,90,8
699,418,466,397,104,90,8
90,392,488,395,104,90,8
792,407,473,395,104,90,8
229,398,482,395,104,90,8
1200,347,533,395,104,90,8
440,411,473,397,104,90,7
557,398,482,395,104,90,8
1189,413,467,395,104,90,8
269,392,488,395,104,90,8
1149,407,473,395,104,90,8
1472,398,482,395,104,90,8
265,387,497,397,104,90,7
1202,413,467,395,104,90,8
994,392,488,395,104,90,8
1114,362,518,395,104,90,8
514,407,473,395,104,90,8
250,392,488,395,104,90,8
980,396,488,397,104,90,7
709,413,467,395,104,90,8
402,398,482,395,104,90,8
253,423,457,395,104,90,8
667,392,488,395,104,90,8
156,423,457,395,104,90,8
643,413,467,395,104,90,8
177,408,472,395,104,90,8
869,392,488,395,104,90,8
640,398,482,395,104,90,8
1289,366,518,397,104,90,8
234,423,457,395,104,90,8
683,396,488,397,104,90,7
694,398,482,395,104,90,8
741,347,533,395,104,90,8
1226,411,473,397,104,90,8
315,362,518,395,104,90,8
1264,362,518,395,104,90,8
1254,366,518,397,104,90,8
1242,413,467,395,104,90,8
412,398,482,395,104,90,8
419,407,473,395,104,90,8
408,407,473,395,104,90,8
231,402,482,397,104,90,8
956,417,467,397,104,90,8
1042,396,488,397,104,90,8
60,392,488,395,104,90,8
930,362,518,395,104,90,8
34,427,457,397,104,90,8
845,423,457,395,104,90,8
423,423,457,395,104,90,8
820,413,467,395,104,90,8
1282,407,473,395,104,90,8
288,418,466,397,104,90,8
949,423,457,395,104,90,8
1476,408,472,395,104,90,8
135,392,488,395,104,90,8
239,396,488,397,104,90,7
617,398,482,395,104,90,8
328,347,533,395,104,90,8
483,413,467,395,104,90,8
933,398,482,395,104,90,8
697,408,472,395,104,90,8
809,398,482,395,104,90,8
1083,423,457,395,104,90,8
751,408,472,395,104,90,8
227,347,533,395,104,90,8
724,407,473,395,104,90,8
704,398,482,395,104,90,8
77,347,533,395,104,90,8
633,347,533,395,104,90,8
715,396,488,397,104,90,7
1062,423,457,395,104,90,8
207,398,482,395,104,90,8
