sid,BUFF,NOT,AND,PI,PO,LP
1253,9186,9199,9012,636,361,54
36,9544,9359,9271,636,361,52
574,8751,9770,9080,636,361,52
1074,9545,8994,9089,636,361,53
1195,8964,9483,9043,636,361,53
861,8801,9596,9018,636,361,52
903,8868,9711,9109,636,361,50
184,8888,9265,8896,636,361,51
531,9572,9017,9114,636,361,54
699,8936,9703,9139,636,361,52
90,9237,9036,8956,636,361,54
792,9114,9365,9059,636,361,52
229,9204,9467,9155,636,361,52
1200,9461,9170,9135,636,361,52
440,9015,9314,8984,636,361,51
557,9202,9475,9158,636,361,52
1189,8835,9722,9098,636,361,52
269,9397,9040,9038,636,361,51
1149,8869,9514,9011,636,361,51
1472,8926,9493,9029,636,361,51
265,8962,9655,9128,636,361,52
1202,8686,9873,9099,636,361,54
994,9494,9033,9083,636,361,53
1114,8800,9453,8946,636,361,53
514,8830,9415,8942,636,361,50
250,9369,9128,9068,636,361,54
980,9335,9074,9024,636,361,52
709,8754,9879,9136,636,361,54
402,9793,9118,9275,636,361,54
253,9023,9786,9224,636,361,52
667,9564,9151,9177,636,361,53
156,9086,9867,9296,636,361,54
643,8805,9780,9112,636,361,52
177,8962,9495,9048,636,361,53
869,9382,9057,9039,636,361,51
640,8974,9259,8936,636,361,50
1289,8803,9454,8948,636,361,54
234,8616,9727,8991,636,361,50
683,9301,9012,8976,636,361,52
694,8881,9644,9082,636,361,51
741,9211,9206,9028,636,361,52
1226,8937,9398,8987,636,361,54
315,9080,9621,9170,636,361,51
1264,9090,9643,9186,636,361,51
1254,9459,9298,9198,636,361,54
1242,8859,9742,9120,636,361,53
412,8966,9555,9080,636,361,52
419,9009,9570,9109,636,361,53
408,8860,9519,9009,636,361,52
231,8958,9251,8924,636,361,53
956,8719,9614,8986,636,361,54
1042,9304,8991,8967,636,361,52
60,9392,9013,9022,636,361,54
930,8714,9497,8925,636,361,50
34,8808,9577,9012,636,361,52
845,8796,9661,9048,636,361,53
423,8651,9712,9001,636,361,52
820,8712,9799,9075,636,361,54
1282,9335,9690,9332,636,361,51
288,8648,9521,8904,636,361,52
949,9222,9703,9282,636,361,51
1476,8800,9621,9030,636,361,52
135,9280,9139,9029,636,361,53
239,9355,9134,9064,636,361,54
617,9159,9366,9082,636,361,51
328,9564,9075,9139,636,361,54
483,8858,9711,9104,636,361,53
933,9271,9530,9220,636,361,51
697,9192,9263,9047,636,361,54
809,9197,9428,9132,636,361,51
1083,9228,9661,9264,636,361,54
751,9295,9410,9172,636,361,54
227,9320,9035,8997,636,361,52
724,9152,9457,9124,636,361,52
704,8968,9603,9105,636,361,54
77,9475,9008,9061,636,361,54
633,9513,9032,9092,636,361,52
715,9363,9050,9026,636,361,53
1062,9077,9828,9272,636,361,54
207,9077,9266,8991,636,361,52
813,8898,9155,8846,636,361,54
887,8632,9759,9015,636,361,52
799,8802,9387,8914,636,361,53
424,8813,9524,8988,636,361,53
512,8701,9564,8952,636,361,52
99,9335,9320,9147,636,361,50
1224,9285,9570,9247,636,361,54
923,8800,9581,9010,636,361,54
127,8678,9517,8917,636,361,53
976,9115,9764,9259,636,361,51
33,9619,8952,9105,636,361,52
388,9462,9181,9141,636,361,53
145,9201,9500,9170,636,361,51
48,9479,9276,9197,636,361,54
1104,9150,9663,9226,636,361,54
591,8960,9919,9259,636,361,52
294,8709,9776,9062,636,361,53
1119,9095,9550,9142,636,361,52
98,8901,9740,9140,636,361,52
22,9545,9220,9202,636,361,52
668,9099,8996,8867,636,361,53
170,9471,9102,9106,636,361,52
679,9186,9211,9018,636,361,54
139,8965,9728,9166,636,361,53
1273,9240,9007,8943,636,361,52
692,8897,9546,9041,636,361,54
66,9556,9283,9239,636,361,54
885,9085,9516,9120,636,361,50
148,8918,9389,8973,636,361,53
803,9355,9048,9021,636,361,51
1120,8597,9806,9021,636,361,51
360,9181,9142,8981,636,361,52
341,9217,9008,8932,636,361,54
1245,9068,9457,9082,636,361,54
1214,9076,9533,9124,636,361,52
74,8931,9476,9023,636,361,52
1177,9857,9108,9302,636,361,54
841,8748,9739,9063,636,361,53
1081,9797,9472,9454,636,361,54
399,9262,9031,8966,636,361,52
1456,9730,8891,9130,636,361,53
39,9125,9502,9133,636,361,54
1448,9088,9363,9045,636,361,52
302,8846,9517,9001,636,361,51
45,9415,9324,9189,636,361,53
1014,9383,9086,9054,636,361,50
639,9295,9454,9194,636,361,51
358,8965,9224,8914,636,361,52
1173,9006,9799,9222,636,361,53
107,9412,9557,9304,636,361,50
334,9050,9593,9141,636,361,52
533,9223,9096,8979,636,361,52
541,8860,9429,8964,636,361,52
383,9380,9015,9017,636,361,51
485,8605,9672,8958,636,361,52
690,8648,9467,8877,636,361,51
276,9000,9455,9047,636,361,52
560,9208,9315,9081,636,361,54
556,9289,9130,9029,636,361,52
157,9585,8960,9092,636,361,52
944,9566,9103,9154,636,361,54
1222,8881,9578,9049,636,361,52
47,8976,9389,9002,636,361,52
790,8930,9527,9048,636,361,52
743,9551,9106,9148,636,361,51
1280,9131,9306,9038,636,361,52
330,9795,9110,9272,636,361,54
319,9108,9359,9053,636,361,54
524,9078,9395,9056,636,361,53
476,9510,9095,9122,636,361,51
1130,9070,9265,8987,636,361,54
614,9197,9152,8994,636,361,52
180,9176,9371,9093,636,361,53
664,9069,9494,9101,636,361,52
1492,9027,9116,8891,636,361,52
781,8779,9582,9000,636,361,53
579,9462,9129,9115,636,361,54
807,9046,9473,9079,636,361,52
129,9003,9418,9030,636,361,53
369,9501,9014,9077,636,361,50
1141,9401,9044,9042,636,361,52
948,8701,9600,8970,636,361,51
705,9073,9270,8991,636,361,52
1393,9207,9506,9176,636,361,52
415,8698,9501,8919,636,361,51
106,9114,9185,8969,636,361,52
974,8869,9702,9105,636,361,52
826,8837,9266,8871,636,361,52
1024,9073,9600,9156,636,361,54
575,9703,9082,9212,636,361,54
204,8727,9258,8812,636,361,53
1046,9662,8969,9135,636,361,52
1105,9116,9489,9122,636,361,54
1168,8910,9431,8990,636,361,51
480,8641,9662,8971,636,361,53
1252,8843,9510,8996,636,361,54
1422,8743,9570,8976,636,361,52
611,9338,8965,8971,636,361,54
594,8730,9687,9028,636,361,50
425,9247,9228,9057,636,361,54
1498,9475,9096,9105,636,361,54
1367,8833,9380,8926,636,361,51
137,9362,9039,9020,636,361,51
291,9201,9214,9027,636,361,53
463,9596,9249,9242,636,361,54
829,9294,9185,9059,636,361,53
488,9349,9214,9101,636,361,53
549,8759,9398,8898,636,361,52
1153,9106,9435,9090,636,361,52
1263,9977,9152,9384,636,361,54
268,9668,9255,9281,636,361,54
1450,8844,9523,9003,636,361,53
475,9348,9321,9154,636,361,52
1211,9534,8957,9065,636,361,52
928,8885,9354,8939,636,361,50
1036,9082,9473,9097,636,361,53
354,8685,9470,8897,636,361,51
732,9285,9048,8986,636,361,51
1098,9281,8962,8941,636,361,54
1159,8955,9422,9008,636,361,52
855,8911,9594,9072,636,361,52
468,9654,8863,9078,636,361,52
910,9072,9469,9090,636,361,53
1025,9430,9147,9108,636,361,52
1009,8995,9438,9036,636,361,52
746,9379,9580,9299,636,361,51
486,9102,9581,9161,636,361,53
197,8951,9368,8979,636,361,53
800,9034,9805,9239,636,361,52
1,9984,8819,9221,636,361,52
1261,9064,9533,9118,636,361,54
316,9098,9615,9176,636,361,51
601,9366,9419,9212,636,361,54
622,9312,9017,8984,636,361,54
862,8991,9370,9000,636,361,52
529,9057,9638,9167,636,361,51
397,9204,9427,9135,636,361,52
899,8652,9367,8829,636,361,53
252,9443,9098,9090,636,361,53
138,9431,8870,8970,636,361,52
217,8883,9640,9081,636,361,52
1336,9053,9406,9049,636,361,54
298,9576,9101,9158,636,361,51
1384,9076,9525,9120,636,361,52
262,9434,9441,9257,636,361,51
1246,9298,9327,9132,636,361,52
433,9005,9464,9054,636,361,53
96,8864,9511,9007,636,361,51
1286,9087,9514,9120,636,361,52
450,9004,9491,9067,636,361,53
626,9423,9408,9235,636,361,52
426,9458,9161,9129,636,361,54
1347,8505,9648,8896,636,361,52
1352,9688,8985,9156,636,361,54
785,9212,9193,9022,636,361,54
1296,9154,9365,9079,636,361,52
1205,8998,9555,9096,636,361,52
470,8793,9506,8969,636,361,50
1218,9255,9504,9199,636,361,54
1234,9308,9529,9238,636,361,54
547,9289,9706,9317,636,361,54
136,9358,8897,8947,636,361,53
600,8956,9453,9024,636,361,51
998,9395,9072,9053,636,361,51
1089,9142,9135,8958,636,361,54
1247,8654,9789,9041,636,361,52
596,8986,9587,9106,636,361,54
764,9680,8865,9092,636,361,54
713,9367,8942,8974,636,361,53
1185,9347,9234,9110,636,361,54
25,9078,9755,9236,636,361,54
759,9514,9075,9114,636,361,54
1238,8887,9436,8981,636,361,54
918,9540,9109,9144,636,361,54
959,9100,9861,9300,636,361,54
0,9192,9535,9183,636,361,51
1101,9291,9220,9075,636,361,52
1093,9103,9324,9033,636,361,54
