sid,BUFF,NOT,AND,PI,PO,LP
1253,461,475,423,132,90,10
36,468,488,433,132,90,10
574,480,460,425,132,90,10
1074,472,464,423,132,90,10
1195,479,459,424,132,90,10
861,461,479,425,132,90,10
903,469,469,424,132,90,10
184,476,460,423,132,90,9
531,479,471,430,132,90,10
699,468,476,427,132,90,10
90,476,464,425,132,90,10
792,475,459,422,132,90,10
229,466,474,425,132,90,10
1200,476,464,425,132,90,10
440,468,466,422,132,90,10
557,470,478,429,132,90,10
1189,468,474,426,132,90,10
269,478,464,426,132,90,10
1149,467,475,426,132,90,10
1472,463,479,426,132,90,10
265,460,478,424,132,90,10
1202,463,481,427,132,90,10
994,475,459,422,132,90,10
1114,476,466,426,132,90,10
514,484,458,426,132,90,10
250,474,470,427,132,90,10
980,480,462,426,132,90,10
709,470,486,433,132,90,10
402,470,484,432,132,90,10
253,474,476,430,132,90,10
667,482,472,432,132,90,10
156,483,483,438,132,90,10
643,465,475,425,132,90,10
177,474,482,433,132,90,10
869,467,473,425,132,90,10
640,456,488,427,132,90,10
1289,472,470,426,132,90,10
234,475,467,426,132,90,10
683,465,473,424,132,90,10
694,465,475,425,132,90,10
741,471,475,428,132,90,10
1226,471,481,431,132,90,10
315,475,463,424,132,90,10
1264,484,476,435,132,90,10
1254,479,477,433,132,90,10
1242,466,482,429,132,90,10
412,462,484,428,132,90,10
419,474,462,423,132,90,10
408,472,462,422,132,90,10
231,464,490,432,132,90,10
956,465,481,428,132,90,10
1042,477,465,426,132,90,10
60,473,473,428,132,90,9
930,480,462,426,132,90,10
34,471,467,424,132,90,10
845,463,479,426,132,90,10
423,469,461,420,132,90,10
820,466,480,428,132,90,10
1282,479,467,428,132,90,10
288,464,476,425,132,90,10
949,479,467,428,132,90,10
1476,459,475,422,132,90,10
135,472,472,427,132,90,10
239,477,473,430,132,90,10
617,463,473,423,132,90,10
328,473,465,424,132,90,10
483,463,481,427,132,90,10
933,464,476,425,132,90,10
697,472,482,432,132,90,10
809,466,472,424,132,90,10
1083,478,476,432,132,90,10
751,477,471,429,132,90,10
227,469,465,422,132,90,10
724,475,461,423,132,90,10
704,461,499,435,132,90,10
77,468,484,431,132,90,10
633,465,473,424,132,90,10
715,477,461,424,132,90,9
1062,481,475,433,132,90,10
207,460,486,428,132,90,10
813,470,480,430,132,90,9
887,471,479,430,132,90,10
799,479,463,426,132,90,10
424,473,467,425,132,90,10
512,478,464,426,132,90,10
99,467,475,426,132,90,10
1224,474,486,435,132,90,10
923,485,463,429,132,90,10
127,475,465,425,132,90,10
976,472,466,424,132,90,10
33,478,460,424,132,90,9
388,482,472,432,132,90,10
145,479,463,426,132,90,10
48,462,496,434,132,90,9
1104,478,480,434,132,90,10
591,482,460,426,132,90,10
294,465,481,428,132,90,10
1119,468,486,432,132,90,10
98,465,479,427,132,90,10
22,475,469,427,132,90,10
668,466,474,425,132,90,9
170,473,469,426,132,90,10
679,477,459,423,132,90,10
139,474,468,426,132,90,10
1273,471,485,433,132,90,10
692,480,460,425,132,90,10
66,472,492,437,132,90,10
885,460,480,425,132,90,10
148,460,478,424,132,90,10
803,469,471,425,132,90,10
1120,469,469,424,132,90,10
360,473,471,427,132,90,10
341,470,470,425,132,90,10
1245,481,465,428,132,90,10
1214,467,471,424,132,90,10
74,477,461,424,132,90,10
1177,488,470,434,132,90,10
841,469,481,430,132,90,10
1081,492,468,435,132,90,10
399,473,463,423,132,90,10
1456,475,471,428,132,90,10
39,471,485,433,132,90,10
1448,461,483,427,132,90,10
302,477,467,427,132,90,10
45,465,473,424,132,90,10
1014,471,465,423,132,90,10
639,462,482,427,132,90,10
358,484,462,428,132,90,10
1173,471,469,425,132,90,10
107,486,456,426,132,90,10
334,481,461,426,132,90,10
533,476,466,426,132,90,10
541,474,464,424,132,90,9
383,478,458,423,132,90,10
485,471,485,433,132,90,10
690,461,481,426,132,90,10
276,478,460,424,132,90,10
560,476,476,431,132,90,10
556,464,478,426,132,90,10
157,470,480,430,132,90,10
944,479,481,435,132,90,10
1222,464,474,424,132,90,10
47,466,474,425,132,90,9
790,481,461,426,132,90,10
743,464,480,427,132,90,10
1280,464,480,427,132,90,10
330,472,486,434,132,90,10
319,473,471,427,132,90,10
524,474,466,425,132,90,10
476,472,466,424,132,90,10
1130,480,466,428,132,90,10
614,473,477,430,132,90,10
180,482,462,427,132,90,10
664,468,470,424,132,90,10
1492,473,467,425,132,90,10
781,458,480,424,132,90,9
579,470,474,427,132,90,10
807,473,479,431,132,90,10
129,475,457,421,132,90,10
369,465,475,425,132,90,10
1141,473,467,425,132,90,10
948,466,476,426,132,90,10
705,464,478,426,132,90,10
1393,472,468,425,132,90,10
415,480,460,425,132,90,10
106,463,485,429,132,90,10
974,478,458,423,132,90,10
826,462,468,420,132,90,10
1024,473,467,425,132,90,10
575,484,474,434,132,90,10
204,459,481,425,132,90,9
1046,469,487,433,132,90,10
1105,468,484,431,132,90,9
1168,474,468,426,132,90,9
480,471,489,435,132,90,10
1252,482,474,433,132,90,10
1422,467,477,427,132,90,10
611,470,476,428,132,90,9
594,475,465,425,132,90,10
425,484,478,436,132,90,10
1498,462,494,433,132,90,9
1367,467,475,426,132,90,10
137,478,464,426,132,90,10
291,477,465,426,132,90,10
463,467,495,436,132,90,10
829,474,466,425,132,90,10
488,474,468,426,132,90,10
549,467,487,432,132,90,10
1153,475,463,424,132,90,10
1263,465,491,433,132,90,10
268,475,489,437,132,90,10
1450,468,476,427,132,90,10
475,478,470,429,132,90,10
1211,476,468,427,132,90,10
928,474,466,425,132,90,10
1036,466,470,423,132,90,10
354,458,482,425,132,90,10
732,467,471,424,132,90,10
1098,473,469,426,132,90,10
1159,472,466,424,132,90,10
855,467,491,434,132,90,10
468,474,470,427,132,90,10
910,484,470,432,132,90,10
1025,467,473,425,132,90,10
1009,473,483,433,132,90,10
746,484,460,427,132,90,10
486,468,472,425,132,90,10
197,464,478,426,132,90,10
800,468,464,421,132,90,10
1,483,465,429,132,90,10
1261,456,500,433,132,90,10
316,461,477,424,132,90,10
601,466,476,426,132,90,10
622,478,462,425,132,90,10
862,470,468,424,132,90,10
529,474,470,427,132,90,10
397,464,480,427,132,90,10
899,459,491,430,132,90,9
252,478,468,428,132,90,10
138,482,466,429,132,90,10
217,477,463,425,132,90,10
1336,459,481,425,132,90,9
298,478,462,425,132,90,10
1384,480,474,432,132,90,10
262,482,458,425,132,90,10
1246,467,469,423,132,90,10
433,476,460,423,132,90,10
96,478,462,425,132,90,10
1286,460,476,423,132,90,10
450,476,466,426,132,90,10
626,470,476,428,132,90,10
426,481,469,430,132,90,10
1347,468,486,432,132,90,10
1352,478,474,431,132,90,9
785,469,477,428,132,90,10
1296,469,461,420,132,90,9
1205,466,476,426,132,90,10
470,479,457,423,132,90,10
1218,473,485,434,132,90,10
1234,486,472,434,132,90,10
547,481,483,437,132,90,10
136,467,477,427,132,90,10
600,474,466,425,132,90,10
998,471,459,420,132,90,10
1089,480,470,430,132,90,10
1247,480,464,427,132,90,10
596,480,458,424,132,90,10
764,476,476,431,132,90,10
713,475,475,430,132,90,10
1185,472,464,423,132,90,10
25,479,485,437,132,90,10
759,471,465,423,132,90,10
1238,466,474,425,132,90,9
918,482,468,430,132,90,10
959,469,473,426,132,90,10
0,486,454,425,132,90,10
1101,465,477,426,132,90,10
1093,469,477,428,132,90,10
1064,478,466,427,132,90,10
1002,479,463,426,132,90,10
1137,472,472,427,132,90,10
357,467,475,426,132,90,10
1088,467,481,429,132,90,9
183,474,462,423,132,90,10
329,464,486,430,132,90,10
1181,481,463,427,132,90,10
27,470,470,425,132,90,10
310,478,462,425,132,90,10
545,472,492,437,132,90,10
109,475,465,425,132,90,10
117,476,472,429,132,90,10
213,463,479,426,132,90,10
1420,460,476,423,132,90,10
371,482,460,426,132,90,10
158,465,487,431,132,90,10
996,484,456,425,132,90,10
810,472,478,430,132,90,10
766,474,468,426,132,90,9
346,467,479,428,132,90,10
1314,476,490,438,132,90,10
1444,475,471,428,132,90,10
1494,465,475,425,132,90,10
1481,474,480,432,132,90,10
159,459,477,423,132,90,9
1144,465,483,429,132,90,10
1358,472,472,427,132,90,10
15,484,464,429,132,90,10
1055,470,472,426,132,90,10
534,466,474,425,132,90,10
814,474,488,436,132,90,10
984,490,460,430,132,90,10
459,462,496,434,132,90,10
1485,463,483,428,132,90,10
1004,478,470,429,132,90,10
1003,469,467,423,132,90,10
413,468,474,426,132,90,10
710,476,462,424,132,90,10
281,474,480,432,132,90,10
1169,482,460,426,132,90,10
609,479,463,426,132,90,10
185,470,470,425,132,90,10
1187,464,478,426,132,90,10
501,460,494,432,132,90,10
372,481,459,425,132,90,10
686,463,475,424,132,90,9
448,473,477,430,132,90,10
1307,474,468,426,132,90,10
618,467,475,426,132,90,10
1345,469,473,426,132,90,10
1071,472,482,432,132,90,10
308,475,463,424,132,90,10
796,469,479,429,132,90,9
752,469,471,425,132,90,10
725,472,466,424,132,90,10
345,475,469,427,132,90,10
1239,466,470,423,132,90,10
490,465,479,427,132,90,10
629,459,481,425,132,90,10
1322,462,492,432,132,90,10
1221,461,479,425,132,90,9
1140,455,487,426,132,90,10
192,475,467,426,132,90,10
1477,471,471,426,132,90,10
1073,466,472,424,132,90,10
1397,472,468,425,132,90,10
818,468,486,432,132,90,9
898,479,477,433,132,90,10
1067,463,473,423,132,90,10
343,477,465,426,132,90,9
54,478,476,432,132,90,10
421,474,488,436,132,90,10
398,476,462,424,132,90,10
632,469,469,424,132,90,10
804,467,473,425,132,90,10
10,462,480,426,132,90,10
1499,467,471,424,132,90,10
387,468,474,426,132,90,10
1034,471,473,427,132,90,10
218,474,464,424,132,90,10
150,472,484,433,132,90,10
1409,465,481,428,132,90,10
422,485,459,427,132,90,10
163,473,469,426,132,90,10
1111,466,472,424,132,90,10
971,483,473,433,132,90,10
280,468,476,427,132,90,10
9,471,475,428,132,90,10
808,470,466,423,132,90,9
988,465,477,426,132,90,10
843,465,471,423,132,90,10
900,465,487,431,132,90,10
1383,476,458,422,132,90,10
1091,464,476,425,132,90,10
382,467,473,425,132,90,10
522,467,489,433,132,90,10
558,472,464,423,132,90,10
566,473,467,425,132,90,10
1471,479,471,430,132,90,9
1412,473,475,429,132,90,10
151,460,474,422,132,90,9
1054,482,460,426,132,90,9
1162,469,471,425,132,90,10
580,466,486,431,132,90,10
237,463,489,431,132,90,10
1295,462,488,430,132,90,10
364,478,462,425,132,90,10
548,475,461,423,132,90,10
1474,473,469,426,132,90,10
373,480,470,430,132,90,10
877,460,472,421,132,90,10
1416,462,482,427,132,90,10
1174,457,473,420,132,90,9
1399,478,470,429,132,90,10
1271,477,463,425,132,90,10
1079,485,463,429,132,90,10
678,465,491,433,132,90,10
987,464,474,424,132,90,10
188,459,477,423,132,90,10
1016,473,487,435,132,90,10
481,472,468,425,132,90,10
478,480,460,425,132,90,10
242,472,484,433,132,90,10
712,470,472,426,132,90,10
636,479,463,426,132,90,10
456,477,479,433,132,90,10
1457,463,477,425,132,90,10
942,474,468,426,132,90,10
1077,471,473,427,132,90,9
199,467,469,423,132,90,10
981,484,464,429,132,90,10
1051,472,468,425,132,90,10
349,469,483,431,132,90,10
309,455,479,422,132,90,10
555,464,492,433,132,90,9
110,474,468,426,132,90,10
1394,467,477,427,132,90,10
452,464,478,426,132,90,10
1049,462,488,430,132,90,9
1281,465,477,426,132,90,10
435,473,467,425,132,90,10
290,471,471,426,132,90,10
1249,467,473,425,132,90,10
178,473,465,424,132,90,10
750,477,459,423,132,90,10
296,466,476,426,132,90,10
70,471,471,426,132,90,10
938,480,460,425,132,90,10
876,464,476,425,132,90,10
924,462,482,427,132,90,10
589,469,483,431,132,90,10
266,482,474,433,132,90,10
703,463,479,426,132,90,10
1315,465,469,422,132,90,10
860,466,470,423,132,90,10
504,462,478,425,132,90,10
92,472,470,426,132,90,10
892,459,481,425,132,90,9
505,471,471,426,132,90,10
1306,473,469,426,132,90,10
571,472,484,433,132,90,10
1437,465,473,424,132,90,9
1408,457,479,423,132,90,10
1233,478,462,425,132,90,10
695,462,490,431,132,90,10
850,466,474,425,132,90,10
513,466,480,428,132,90,10
917,467,465,421,132,90,10
1031,467,477,427,132,90,9
1418,478,462,425,132,90,10
1157,473,469,426,132,90,10
195,471,475,428,132,90,9
464,475,471,428,132,90,10
233,458,478,423,132,90,10
840,485,477,436,132,90,10
1362,471,465,423,132,90,10
1248,464,476,425,132,90,10
71,481,477,434,132,90,10
134,467,467,422,132,90,10
451,476,462,424,132,90,10
16,479,465,427,132,90,10
245,477,463,425,132,90,10
542,487,459,428,132,90,10
1213,476,474,430,132,90,10
1423,462,482,427,132,90,10
120,466,474,425,132,90,10
588,464,490,432,132,90,10
844,471,467,424,132,90,10
215,476,482,434,132,90,9
1355,474,458,421,132,90,9
553,474,460,422,132,90,10
967,463,473,423,132,90,10
394,466,476,426,132,90,10
1147,478,468,428,132,90,10
1066,480,472,431,132,90,10
322,481,471,431,132,90,10
1100,466,480,428,132,90,10
806,481,467,429,132,90,10
306,465,475,425,132,90,10
628,476,488,437,132,90,10
206,472,478,430,132,90,10
174,465,489,432,132,90,9
1310,458,494,431,132,90,10
378,465,493,434,132,90,10
142,461,477,424,132,90,10
733,469,485,432,132,90,10
429,478,458,423,132,90,10
707,469,473,426,132,90,10
311,479,489,439,132,90,10
921,468,484,431,132,90,10
1048,468,472,425,132,90,10
537,471,457,419,132,90,10
1480,465,471,423,132,90,10
140,497,465,436,132,90,10
1215,478,466,427,132,90,10
427,480,474,432,132,90,10
696,468,478,428,132,90,10
115,474,478,431,132,90,9
14,475,465,425,132,90,10
1045,478,460,424,132,90,10
1414,467,473,425,132,90,10
546,479,461,425,132,90,10
1495,477,485,436,132,90,10
1373,473,463,423,132,90,10
141,458,482,425,132,90,10
1430,461,481,426,132,90,10
82,469,479,429,132,90,10
1424,472,476,429,132,90,10
131,475,477,431,132,90,10
1328,481,461,426,132,90,10
186,468,476,427,132,90,10
323,464,472,423,132,90,10
834,461,473,422,132,90,10
880,462,488,430,132,90,9
1068,465,477,426,132,90,10
57,480,478,434,132,90,10
562,473,467,425,132,90,10
1223,478,464,426,132,90,10
687,466,482,429,132,90,10
477,485,459,427,132,90,10
143,463,487,430,132,90,9
375,474,484,434,132,90,9
55,472,480,431,132,90,10
1095,468,478,428,132,90,10
1136,466,476,426,132,90,10
75,460,482,426,132,90,10
753,471,463,422,132,90,10
908,480,458,424,132,90,10
1313,477,475,431,132,90,10
30,472,484,433,132,90,9
749,477,477,432,132,90,10
762,472,482,432,132,90,9
1035,485,477,436,132,90,10
