sid,BUFF,NOT,AND,PI,PO,LP
872,103075,121134,103573,17322,17063,22
1030,87632,136673,103621,17322,17063,22
903,86839,137516,103646,17322,17063,22
274,101016,123293,103623,17322,17063,22
555,90976,133471,103692,17322,17063,22
1229,73249,151028,103607,17322,17063,22
977,87767,136710,103707,17322,17063,22
208,91093,133468,103749,17322,17063,22
1059,89056,135351,103672,17322,17063,22
997,90980,133493,103705,17322,17063,22
574,75435,148856,103614,17322,17063,22
700,91013,133356,103653,17322,17063,22
595,83831,140664,103716,17322,17063,22
790,84926,139519,103691,17322,17063,22
568,101215,123400,103776,17322,17063,22
642,75444,148929,103655,17322,17063,22
489,72725,151818,103740,17322,17063,22
214,87930,136355,103611,17322,17063,22
126,86982,137389,103654,17322,17063,22
1071,101241,123278,103728,17322,17063,22
519,99284,125175,103698,17322,17063,22
562,75408,148841,103593,17322,17063,22
76,100931,123302,103585,17322,17063,22
902,88017,136516,103735,17322,17063,22
585,74506,149847,103645,17322,17063,22
146,103174,121087,103599,17322,17063,23
310,75436,148899,103636,17322,17063,22
1273,89068,135301,103653,17322,17063,22
164,84952,139475,103682,17322,17063,22
193,84700,139675,103656,17322,17063,22
1197,99171,125196,103652,17322,17063,22
1145,88828,135521,103643,17322,17063,22
350,84836,139455,103614,17322,17063,22
1413,100114,124131,103591,17322,17063,22
232,101092,123327,103678,17322,17063,22
178,75425,148968,103665,17322,17063,22
1075,99192,125111,103620,17322,17063,22
745,88635,135716,103644,17322,17063,22
1146,88061,136358,103678,17322,17063,22
1392,72394,151997,103664,17322,17063,22
865,101158,123281,103688,17322,17063,22
609,103306,121109,103676,17322,17063,22
370,100172,124165,103637,17322,17063,22
175,103173,121078,103594,17322,17063,22
422,84879,139696,103756,17322,17063,22
739,100409,124004,103675,17322,17063,22
61,72524,151887,103674,17322,17063,22
497,71372,152873,103591,17322,17063,22
870,87764,136629,103665,17322,17063,22
1438,101362,123107,103703,17322,17063,22
753,87976,136423,103668,17322,17063,22
971,72625,151902,103732,17322,17063,22
800,87792,136657,103693,17322,17063,22
275,85558,138707,103601,17322,17063,22
1328,87898,136447,103641,17322,17063,23
259,101118,123327,103691,17322,17063,22
681,83767,140638,103671,17322,17063,23
1414,87823,136562,103661,17322,17063,22
647,99222,125079,103619,17322,17063,22
1163,84685,139700,103661,17322,17063,22
1300,103332,121189,103729,17322,17063,22
407,90996,133327,103630,17322,17063,22
26,86965,137344,103623,17322,17063,22
1136,86902,137359,103599,17322,17063,22
396,87814,136543,103647,17322,17063,23
557,83773,140712,103711,17322,17063,22
1291,75430,148871,103619,17322,17063,22
834,87818,136589,103672,17322,17063,22
537,85702,138469,103554,17322,17063,22
1358,84629,139720,103643,17322,17063,23
1343,88059,136396,103696,17322,17063,22
780,103232,121239,103704,17322,17063,22
438,87745,136524,103603,17322,17063,22
521,75411,148882,103615,17322,17063,22
1388,72357,152052,103673,17322,17063,22
64,85760,138615,103656,17322,17063,22
414,75445,148880,103631,17322,17063,22
1024,103171,121136,103622,17322,17063,22
857,75481,148836,103627,17322,17063,22
496,75462,148903,103651,17322,17063,22
434,84622,139671,103615,17322,17063,22
53,86932,137463,103666,17322,17063,22
895,84761,139618,103658,17322,17063,22
1395,87710,136595,103621,17322,17063,22
462,87799,136556,103646,17322,17063,22
785,87982,136405,103662,17322,17063,22
1203,72645,151770,103676,17322,17063,22
67,84945,139512,103697,17322,17063,22
1119,91038,133541,103758,17322,17063,22
388,88735,135542,103607,17322,17063,22
1393,83793,140674,103702,17322,17063,22
947,99297,125154,103694,17322,17063,22
1009,90980,133469,103693,17322,17063,22
1082,101055,123232,103612,17322,17063,22
1247,75406,148881,103612,17322,17063,22
173,75302,148913,103576,17322,17063,22
431,83792,140647,103688,17322,17063,22
222,101251,123350,103769,17322,17063,22
509,91005,133434,103688,17322,17063,22
573,84751,139626,103657,17322,17063,22
16,101120,123237,103647,17322,17063,22
144,91033,133542,103756,17322,17063,22
1461,73284,150925,103573,17322,17063,22
959,87802,136655,103697,17322,17063,22
318,72321,152052,103655,17322,17063,22
633,88012,136309,103629,17322,17063,22
1476,76349,147958,103622,17322,17063,22
1149,75433,148870,103620,17322,17063,22
592,75439,148942,103659,17322,17063,22
377,72508,151855,103650,17322,17063,22
401,99270,125133,103670,17322,17063,22
1417,84749,139520,103603,17322,17063,23
470,88004,136313,103627,17322,17063,22
40,101258,123139,103667,17322,17063,22
1156,75404,148887,103614,17322,17063,22
5,87883,136600,103710,17322,17063,23
179,99168,125065,103585,17322,17063,22
664,84696,139647,103640,17322,17063,22
444,87977,136478,103696,17322,17063,22
114,103231,121146,103657,17322,17063,22
717,88736,135649,103661,17322,17063,22
737,103287,121118,103671,17322,17063,22
600,75447,148882,103633,17322,17063,22
491,86983,137442,103681,17322,17063,22
544,99207,125112,103628,17322,17063,22
112,73176,152233,104173,17322,17063,22
1391,85707,138676,103660,17322,17063,23
727,88025,136412,103687,17322,17063,22
174,101102,123391,103715,17322,17063,22
864,88775,135646,103679,17322,17063,22
198,84805,139604,103673,17322,17063,22
650,103226,121189,103676,17322,17063,22
1484,83747,140666,103675,17322,17063,22
604,103185,121078,103600,17322,17063,22
125,87738,136695,103685,17322,17063,22
11,75516,148859,103656,17322,17063,22
247,101154,123325,103708,17322,17063,22
636,87907,136504,103674,17322,17063,23
876,86988,137467,103696,17322,17063,22
492,99170,125179,103643,17322,17063,22
1286,83765,140788,103745,17322,17063,22
1085,73339,151052,103664,17322,17063,22
1422,99267,125178,103691,17322,17063,22
628,101131,123352,103710,17322,17063,22
667,89110,135535,103791,17322,17063,22
1368,75316,148847,103550,17322,17063,22
200,83771,140696,103702,17322,17063,22
1261,103379,121134,103725,17322,17063,23
1162,72341,151956,103617,17322,17063,22
1289,88959,135376,103636,17322,17063,22
263,87737,136620,103647,17322,17063,22
677,88835,135532,103652,17322,17063,22
153,101016,123357,103655,17322,17063,22
253,87786,136655,103689,17322,17063,22
556,86913,137382,103616,17322,17063,22
1198,103341,121210,103744,17322,17063,22
166,89070,135427,103717,17322,17063,22
988,73274,151099,103655,17322,17063,22
137,84785,139670,103696,17322,17063,22
202,73303,150976,103608,17322,17063,22
362,75369,148820,103563,17322,17063,22
276,72440,151911,103644,17322,17063,22
1342,84781,139664,103691,17322,17063,22
639,83848,140737,103761,17322,17063,22
991,84690,139703,103665,17322,17063,22
1359,87938,136425,103650,17322,17063,22
532,75393,149024,103677,17322,17063,23
65,87899,136464,103650,17322,17063,22
1113,75577,148836,103675,17322,17063,22
1407,76333,147992,103631,17322,17063,22
960,87677,136558,103586,17322,17063,22
449,101108,123341,103693,17322,17063,22
981,72717,151818,103736,17322,17063,22
1045,72650,151757,103672,17322,17063,22
1248,75431,148828,103598,17322,17063,22
605,86854,137365,103578,17322,17063,22
522,90968,133479,103692,17322,17063,22
184,100087,124130,103577,17322,17063,22
95,87779,136386,103551,17322,17063,22
435,75557,148784,103639,17322,17063,22
656,85673,138698,103654,17322,17063,22
2,86870,137453,103630,17322,17063,22
952,88771,135562,103635,17322,17063,22
71,88817,135598,103676,17322,17063,22
437,75480,148811,103614,17322,17063,22
363,71441,152936,103657,17322,17063,22
831,71377,152840,103577,17322,17063,22
1191,100986,123349,103636,17322,17063,22
1402,99207,125110,103627,17322,17063,22
440,88003,136318,103629,17322,17063,22
452,103260,121133,103665,17322,17063,22
534,88670,135717,103662,17322,17063,22
1496,101366,123105,103704,17322,17063,22
493,86934,137469,103670,17322,17063,22
957,75466,149021,103712,17322,17063,22
910,84902,139469,103654,17322,17063,22
773,99274,125109,103660,17322,17063,22
243,72331,151960,103614,17322,17063,22
987,83754,140587,103639,17322,17063,22
1201,85584,138785,103653,17322,17063,22
