sid,BUFF,NOT,AND,PI,PO,LP
6,54665,36232,44411,2122,2075,21
4,55173,36030,44564,2122,2075,22
9,53786,36291,44001,2122,2075,22
7,53889,36144,43979,2122,2075,22
11,53188,36971,44042,2122,2075,22
10,52453,37932,44155,2122,2075,22
14,54969,35830,44362,2122,2075,21
12,52958,38161,44522,2122,2075,22
16,55272,35399,44298,2122,2075,21
15,55229,35604,44379,2122,2075,22
19,53574,37123,44311,2122,2075,23
17,55317,35030,44136,2122,2075,23
23,52771,37648,44172,2122,2075,23
22,54543,37116,44792,2122,2075,22
26,54773,35222,43960,2122,2075,22
24,52764,38427,44558,2122,2075,21
28,52222,38053,44100,2122,2075,21
27,52981,37424,44165,2122,2075,21
30,54315,37362,44801,2122,2075,22
29,54861,35878,44332,2122,2075,21
32,53623,36480,44014,2122,2075,21
31,52119,38936,44490,2122,2075,21
34,54547,36892,44682,2122,2075,22
33,55154,35621,44350,2122,2075,22
38,53927,36302,44077,2122,2075,21
36,55167,35610,44351,2122,2075,21
40,54626,36541,44546,2122,2075,21
39,54876,36451,44626,2122,2075,22
47,55340,35159,44212,2122,2075,22
44,53159,36806,43945,2122,2075,23
49,52713,37086,43862,2122,2075,21
48,53647,38236,44904,2122,2075,22
55,55077,35974,44488,2122,2075,22
51,51744,39211,44440,2122,2075,21
57,55360,36279,44782,2122,2075,22
56,52416,38389,44365,2122,2075,21
60,55112,35539,44288,2122,2075,22
58,54426,37247,44799,2122,2075,22
62,52732,38477,44567,2122,2075,22
61,53020,36827,43886,2122,2075,22
66,53778,37597,44650,2122,2075,22
64,52762,38175,44431,2122,2075,21
69,55097,35074,44048,2122,2075,21
67,53670,36957,44276,2122,2075,23
71,54382,36709,44508,2122,2075,21
70,53538,37861,44662,2122,2075,23
74,52437,38576,44469,2122,2075,22
73,52157,37996,44039,2122,2075,22
78,53042,36879,43923,2122,2075,22
75,52516,37769,44105,2122,2075,21
80,54468,35953,44173,2122,2075,22
79,53096,36949,43985,2122,2075,22
84,53275,37004,44102,2122,2075,22
83,55424,34685,44017,2122,2075,21
87,52795,37958,44339,2122,2075,22
85,55418,34595,43969,2122,2075,21
90,54963,35682,44285,2122,2075,21
89,53216,37067,44104,2122,2075,22
96,54192,36077,44097,2122,2075,21
91,54486,36455,44433,2122,2075,22
98,54505,36862,44646,2122,2075,22
97,52041,38738,44352,2122,2075,21
100,55229,35118,44136,2122,2075,24
99,53088,37049,44031,2122,2075,21
102,54520,35663,44054,2122,2075,23
101,54062,37621,44804,2122,2075,22
104,55334,35815,44537,2122,2075,21
103,52179,38636,44370,2122,2075,22
106,54881,36394,44600,2122,2075,21
105,53957,37008,44445,2122,2075,22
109,53577,36784,44143,2122,2075,21
108,55087,35272,44142,2122,2075,21
111,54316,36307,44274,2122,2075,21
110,53378,37445,44374,2122,2075,23
114,53894,36831,44325,2122,2075,23
113,55303,35418,44323,2122,2075,21
116,52740,37401,44033,2122,2075,22
115,54240,37195,44680,2122,2075,22
118,54858,35065,43924,2122,2075,22
117,53699,36104,43864,2122,2075,22
120,52144,38903,44486,2122,2075,22
119,55165,35624,44357,2122,2075,22
126,54104,37169,44599,2122,2075,22
122,54594,36157,44338,2122,2075,23
133,53978,37415,44659,2122,2075,21
130,55074,35085,44042,2122,2075,21
136,55227,35246,44199,2122,2075,22
134,53073,37214,44106,2122,2075,21
138,54959,35900,44392,2122,2075,21
137,55709,34278,43956,2122,2075,22
141,54477,36566,44484,2122,2075,22
139,52187,39288,44700,2122,2075,22
143,54876,36083,44442,2122,2075,21
142,54418,35783,44063,2122,2075,22
147,52566,37709,44100,2122,2075,21
144,54152,38137,45107,2122,2075,23
151,53937,36754,44308,2122,2075,22
148,54511,35556,43996,2122,2075,22
154,53789,36570,44142,2122,2075,21
153,54516,36143,44292,2122,2075,21
156,54407,37328,44830,2122,2075,22
155,52403,38578,44453,2122,2075,21
158,53737,37622,44642,2122,2075,21
157,53312,36819,44028,2122,2075,22
162,54581,36560,44533,2122,2075,23
161,54933,35106,43982,2122,2075,23
164,54307,36242,44237,2122,2075,22
163,53224,37001,44075,2122,2075,21
167,52895,37500,44160,2122,2075,23
165,54384,35823,44066,2122,2075,21
169,54411,36016,44176,2122,2075,22
168,54827,36098,44425,2122,2075,21
173,52547,37736,44104,2122,2075,21
172,54325,37394,44822,2122,2075,22
175,53989,36312,44113,2122,2075,21
174,55163,36084,44586,2122,2075,22
180,54064,36331,44160,2122,2075,21
179,54921,36150,44498,2122,2075,21
184,55045,34778,43874,2122,2075,22
181,52641,38058,44312,2122,2075,21
186,53885,37264,44537,2122,2075,22
185,53378,37047,44175,2122,2075,22
189,54925,36138,44494,2122,2075,21
188,53303,36654,43941,2122,2075,21
191,54022,36141,44044,2122,2075,22
190,54819,35620,44182,2122,2075,21
193,53876,36097,43949,2122,2075,21
192,53214,37521,44330,2122,2075,22
195,55137,35888,44475,2122,2075,21
194,55581,35090,44298,2122,2075,21
198,55291,34800,44008,2122,2075,21
196,54380,36811,44558,2122,2075,21
200,55102,35585,44306,2122,2075,22
199,53187,37310,44211,2122,2075,22
204,52650,37913,44244,2122,2075,21
202,53229,36726,43940,2122,2075,21
208,53943,37806,44837,2122,2075,22
206,54557,36162,44322,2122,2075,21
212,53369,36938,44116,2122,2075,22
209,54624,36039,44294,2122,2075,21
215,54890,35779,44297,2122,2075,22
213,52507,38236,44334,2122,2075,21
217,55022,35099,44023,2122,2075,22
216,52974,37065,43982,2122,2075,21
219,53140,36935,44000,2122,2075,22
