sid,BUFF,NOT,AND,PI,PO,LP
1253,3109,4549,3478,828,702,25
36,3093,4515,3453,828,702,26
574,3567,4149,3507,828,702,27
1074,3444,4232,3487,828,702,27
1195,3606,4048,3476,828,702,27
861,3222,4374,3447,828,702,27
903,3176,4414,3444,828,702,25
184,3530,3984,3406,828,702,27
531,3505,4205,3504,828,702,27
699,3290,4424,3506,828,702,27
90,3451,4217,3483,828,702,27
792,3578,3996,3436,828,702,27
229,3105,4585,3494,828,702,26
1200,3466,4222,3493,828,702,27
440,3610,4066,3487,828,702,27
557,3107,4511,3458,828,702,27
1189,3197,4349,3422,828,702,28
269,3439,4175,3456,828,702,25
1149,3531,4071,3450,828,702,26
1472,3110,4568,3488,828,702,27
265,3231,4455,3492,828,702,27
1202,3187,4413,3449,828,702,26
994,3515,4201,3507,828,702,26
1114,3555,4041,3447,828,702,25
514,3476,4082,3428,828,702,25
250,3501,4209,3504,828,702,28
980,3401,4211,3455,828,702,25
709,3222,4396,3458,828,702,26
402,3218,4628,3572,828,702,26
253,3685,4157,3570,828,702,27
667,3448,4208,3477,828,702,26
156,3643,4205,3573,828,702,27
643,3210,4498,3503,828,702,27
177,3371,4175,3422,828,702,25
869,3427,4197,3461,828,702,25
640,3088,4556,3471,828,702,25
1289,3537,4023,3429,828,702,27
234,3484,4134,3458,828,702,25
683,3489,4203,3495,828,702,27
694,3054,4550,3451,828,702,26
741,3558,4326,3591,828,702,27
1226,3630,4074,3501,828,702,27
315,3579,4075,3476,828,702,26
1264,3661,4081,3520,828,702,27
1254,3621,4091,3505,828,702,27
1242,3191,4389,3439,828,702,26
412,3072,4466,3418,828,702,26
419,3546,4100,3472,828,702,27
408,3550,4044,3446,828,702,25
231,3150,4604,3526,828,702,27
956,3307,4451,3528,828,702,27
1042,3364,4174,3418,828,702,25
60,3474,4102,3437,828,702,26
930,3584,4076,3479,828,702,27
34,3509,4071,3439,828,702,26
845,3615,4071,3492,828,702,26
423,3575,4103,3488,828,702,26
820,3236,4448,3491,828,702,25
1282,3593,4131,3511,828,702,25
288,3235,4413,3473,828,702,27
949,3537,4137,3486,828,702,26
1476,3393,4297,3494,828,702,27
135,3435,4165,3449,828,702,26
239,3422,4244,3482,828,702,25
617,3068,4570,3468,828,702,27
328,3418,4124,3420,828,702,27
483,3241,4433,3486,828,702,27
933,3179,4563,3520,828,702,26
697,3445,4279,3511,828,702,28
809,3142,4524,3482,828,702,25
1083,3670,4158,3563,828,702,26
751,3496,4268,3531,828,702,27
227,3446,4118,3431,828,702,27
724,3558,4080,3468,828,702,26
704,3057,4507,3431,828,702,26
77,3466,4150,3457,828,702,26
633,3380,4164,3421,828,702,27
715,3477,4189,3482,828,702,27
1062,3671,4161,3565,828,702,26
207,3134,4552,3492,828,702,26
813,3560,4002,3430,828,702,26
887,3332,4480,3555,828,702,27
799,3577,4095,3485,828,702,27
424,3586,4074,3479,828,702,27
512,3595,4047,3470,828,702,27
99,3099,4579,3488,828,702,25
1224,3645,4201,3572,828,702,26
923,3627,4057,3491,828,702,27
127,3568,4080,3473,828,702,26
976,3657,4113,3534,828,702,26
33,3445,4237,3490,828,702,26
388,3497,4273,3534,828,702,28
145,3633,4127,3529,828,702,26
48,3260,4704,3631,828,702,27
1104,3601,4061,3480,828,702,26
591,3619,4073,3495,828,702,28
294,3196,4416,3455,828,702,27
1119,3255,4457,3505,828,702,27
98,3252,4434,3492,828,702,27
22,3468,4220,3493,828,702,27
668,3525,4229,3526,828,702,26
170,3440,4234,3486,828,702,27
679,3454,4188,3470,828,702,27
139,3563,4141,3501,828,702,27
1273,3451,4223,3486,828,702,26
692,3620,4044,3481,828,702,28
66,3210,4708,3608,828,702,28
885,3066,4560,3462,828,702,26
148,3119,4533,3475,828,702,27
803,3433,4215,3473,828,702,25
1120,3235,4449,3491,828,702,28
360,3429,4137,3432,828,702,26
341,3459,4197,3477,828,702,27
1245,3635,4115,3524,828,702,27
1214,3569,4071,3469,828,702,26
74,3583,4063,3472,828,702,26
1177,3452,4180,3465,828,702,25
841,3193,4419,3455,828,702,26
1081,3779,4259,3668,828,702,27
399,3415,4163,3438,828,702,27
1456,3483,4191,3486,828,702,27
39,3577,4031,3453,828,702,27
1448,3104,4578,3490,828,702,27
302,3655,4091,3522,828,702,27
45,3261,4627,3593,828,702,28
1014,3446,4188,3466,828,702,27
639,3092,4582,3486,828,702,26
358,3411,4197,3453,828,702,26
1173,3584,4082,3482,828,702,29
107,3652,4046,3498,828,702,27
334,3562,4010,3435,828,702,26
533,3502,4216,3508,828,702,26
541,3539,4033,3435,828,702,26
383,3430,4236,3482,828,702,27
485,3564,4106,3484,828,702,27
690,3204,4440,3471,828,702,26
276,3565,4087,3475,828,702,27
560,3371,4211,3440,828,702,27
556,3163,4587,3524,828,702,27
157,3488,4218,3502,828,702,27
944,3469,4213,3490,828,702,26
1222,3176,4444,3459,828,702,24
47,3695,4099,3546,828,702,27
790,3686,4112,3548,828,702,27
743,3528,4228,3527,828,702,27
1280,3141,4569,3504,828,702,27
330,3304,4688,3645,828,702,27
319,3486,4278,3531,828,702,26
524,3612,4024,3467,828,702,26
476,3421,4189,3454,828,702,26
1130,3608,4068,3487,828,702,27
614,3428,4122,3424,828,702,27
180,3697,4145,3570,828,702,26
664,3300,4406,3502,828,702,26
1492,3424,4180,3451,828,702,25
781,3244,4386,3464,828,702,27
579,3474,4168,3470,828,702,28
807,3643,4049,3495,828,702,27
129,3402,4264,3482,828,702,28
369,3471,4225,3497,828,702,27
1141,3433,4221,3476,828,702,27
948,3218,4416,3466,828,702,27
705,3058,4546,3451,828,702,27
1393,3112,4508,3459,828,702,25
415,3542,4088,3464,828,702,24
106,3160,4538,3498,828,702,27
974,3462,4126,3443,828,702,25
826,3141,4545,3492,828,702,27
1024,3619,4021,3469,828,702,27
575,3497,4197,3496,828,702,26
204,3117,4513,3464,828,702,26
1046,3425,4125,3424,828,702,26
1105,3591,4043,3466,828,702,25
1168,3634,4106,3519,828,702,27
480,3163,4567,3514,828,702,26
1252,3640,4066,3502,828,702,28
1422,3283,4389,3485,828,702,27
611,3511,4257,3533,828,702,27
594,3198,4410,3453,828,702,26
425,3519,4221,3519,828,702,27
1498,3271,4685,3627,828,702,26
1367,3227,4409,3467,828,702,25
137,3520,4224,3521,828,702,25
291,3560,4022,3440,828,702,27
463,3182,4668,3574,828,702,26
829,3436,4212,3473,828,702,27
488,3448,4160,3453,828,702,27
549,3225,4409,3466,828,702,26
1153,3593,4039,3465,828,702,25
1263,3266,4650,3607,828,702,27
268,3172,4590,3530,828,702,26
1450,3568,4120,3493,828,702,28
475,3428,4234,3480,828,702,27
1211,3453,4181,3466,828,702,26
928,3583,4025,3453,828,702,27
1036,3310,4438,3523,828,702,27
354,3026,4548,3436,828,702,27
732,3404,4224,3463,828,702,27
1098,3508,4214,3510,828,702,27
1159,3371,4187,3428,828,702,27
855,3269,4403,3485,828,702,27
468,3454,4122,3437,828,702,26
910,3596,4100,3497,828,702,27
1025,3437,4243,3489,828,702,26
1009,3590,4122,3505,828,702,27
746,3691,4039,3514,828,702,26
486,3110,4508,3458,828,702,27
197,3090,4534,3461,828,702,26
800,3565,4127,3495,828,702,27
1,3530,4220,3524,828,702,27
1261,3324,4430,3526,828,702,27
316,3097,4545,3470,828,702,25
601,3600,4046,3472,828,702,25
622,3420,4182,3450,828,702,26
862,3546,3986,3415,828,702,26
529,3571,4093,3481,828,702,26
397,3227,4619,3572,828,702,26
899,3237,4399,3467,828,702,24
252,3443,4199,3470,828,702,27
138,3456,4172,3463,828,702,27
217,3512,4114,3462,828,702,25
1336,3138,4598,3517,828,702,27
298,3659,4343,3650,828,702,27
1384,3697,4085,3540,828,702,27
262,3654,4068,3510,828,702,27
1246,3368,4158,3412,828,702,25
433,3624,4084,3503,828,702,27
96,3578,4076,3476,828,702,27
1286,3250,4644,3596,828,702,27
450,3667,4045,3505,828,702,27
626,3098,4496,3446,828,702,27
426,3647,4349,3647,828,702,28
1347,3553,4173,3512,828,702,27
1352,3458,4236,3496,828,702,27
785,3369,4155,3411,828,702,26
1296,3621,4067,3493,828,702,27
1205,3550,4074,3461,828,702,26
470,3623,4043,3482,828,702,27
1218,3580,4042,3460,828,702,26
1234,3658,4094,3525,828,702,28
547,3674,4344,3658,828,702,26
136,3431,4241,3485,828,702,28
600,3575,4107,3490,828,702,27
998,3422,4214,3467,828,702,26
1089,3446,4234,3489,828,702,26
1247,3507,4055,3430,828,702,26
596,3606,4024,3464,828,702,28
764,3459,4153,3455,828,702,27
713,3463,4235,3498,828,702,27
1185,3413,4131,3421,828,702,27
25,3746,4210,3627,828,702,25
759,3495,4275,3534,828,702,27
1238,3226,4454,3489,828,702,27
918,3430,4198,3463,828,702,25
959,3570,4056,3462,828,702,29
0,3570,4040,3454,828,702,25
1101,3116,4588,3501,828,702,27
1093,3494,4294,3543,828,702,26
1064,3574,4070,3471,828,702,28
1002,3602,4050,3475,828,702,27
1137,3423,4247,3484,828,702,26
357,3438,4220,3478,828,702,26
1088,3481,4183,3481,828,702,25
183,3432,4240,3485,828,702,25
329,3214,4388,3450,828,702,27
1181,3638,4144,3540,828,702,27
27,3527,4093,3459,828,702,25
310,3526,4086,3455,828,702,28
545,3220,4608,3563,828,702,26
109,3540,4070,3454,828,702,26
117,3425,4165,3444,828,702,26
213,3156,4542,3498,828,702,27
1420,3511,4241,3525,828,702,27
371,3581,4043,3461,828,702,25
158,3138,4628,3532,828,702,27
996,3653,4117,3534,828,702,27
810,3491,4153,3471,828,702,25
766,3562,4230,3545,828,702,26
346,3315,4425,3519,828,702,27
1314,3201,4621,3560,828,702,26
1444,3480,4186,3482,828,702,25
1494,3086,4540,3462,828,702,26
1481,3495,4005,3399,828,702,25
159,3281,4419,3499,828,702,27
1144,3147,4543,3494,828,702,27
1358,3438,4228,3482,828,702,27
15,3470,4258,3513,828,702,27
1055,3632,4144,3537,828,702,27
534,3553,4051,3451,828,702,27
814,3658,4248,3602,828,702,28
984,3641,4057,3498,828,702,28
459,3118,4562,3489,828,702,27
1485,3139,4545,3491,828,702,27
1004,3454,4214,3483,828,702,25
1003,3210,4450,3479,828,702,27
413,3121,4533,3476,828,702,26
710,3585,4077,3480,828,702,27
281,3455,4221,3487,828,702,27
1169,3578,4030,3453,828,702,26
609,3655,4109,3531,828,702,28
185,3081,4563,3471,828,702,25
1187,3183,4391,3436,828,702,26
501,3118,4596,3506,828,702,28
372,3507,4093,3449,828,702,25
686,3058,4526,3441,828,702,26
448,3470,4268,3518,828,702,27
1307,3433,4211,3471,828,702,27
618,3321,4513,3566,828,702,27
1345,3530,4078,3453,828,702,25
1071,3609,4055,3481,828,702,27
308,3523,4143,3482,828,702,26
796,3549,3985,3416,828,702,26
752,3064,4544,3453,828,702,25
725,3485,4057,3420,828,702,25
345,3416,4222,3468,828,702,27
1239,3484,4298,3540,828,702,26
490,3241,4389,3464,828,702,27
629,3027,4593,3459,828,702,28
1322,3233,4615,3573,828,702,28
1221,3180,4388,3433,828,702,25
1140,3229,4415,3471,828,702,27
192,3600,4058,3478,828,702,27
1477,3403,4283,3492,828,702,27
1073,3567,4079,3472,828,702,27
1397,3292,4386,3488,828,702,27
818,3653,4095,3523,828,702,25
898,3402,4120,3410,828,702,24
1067,3077,4509,3442,828,702,25
343,3446,4136,3440,828,702,27
54,3431,4199,3464,828,702,27
421,3249,4627,3587,828,702,25
398,3608,4056,3481,828,702,28
632,3286,4418,3501,828,702,28
804,3414,4210,3461,828,702,27
10,3117,4547,3481,828,702,25
1499,3448,4214,3480,828,702,26
387,3294,4444,3518,828,702,27
1034,3417,4135,3425,828,702,27
218,3557,4095,3475,828,702,26
150,3403,4159,3430,828,702,26
1409,3179,4591,3534,828,702,27
422,3642,4044,3492,828,702,28
163,3490,4134,3461,828,702,25
1111,3090,4502,3445,828,702,25
971,3582,4034,3457,828,702,26
280,3524,4246,3534,828,702,25
9,3405,4139,3421,828,702,26
808,3492,4158,3474,828,702,27
988,3550,4066,3457,828,702,27
843,3497,4325,3560,828,702,28
900,3088,4568,3477,828,702,26
1383,3492,4096,3443,828,702,25
1091,3072,4594,3482,828,702,27
382,3079,4581,3479,828,702,27
522,3222,4408,3464,828,702,26
558,3546,4120,3482,828,702,26
566,3413,4227,3469,828,702,27
1471,3591,4113,3501,828,702,27
1412,3709,4107,3557,828,702,27
151,3510,3998,3403,828,702,25
1054,3631,4089,3509,828,702,27
1162,3177,4449,3462,828,702,26
580,3219,4641,3579,828,702,27
237,3200,4358,3428,828,702,27
1295,3259,4431,3494,828,702,26
364,3593,4059,3475,828,702,28
548,3568,4094,3480,828,702,28
1474,3458,4242,3499,828,702,27
373,3495,4197,3495,828,702,27
877,3068,4520,3443,828,702,27
1416,3086,4572,3478,828,702,27
1174,3207,4435,3470,828,702,26
1399,3474,4200,3486,828,702,26
1271,3669,4087,3527,828,702,27
1079,3538,4212,3524,828,702,27
678,3461,4263,3511,828,702,28
987,3102,4578,3489,828,702,26
188,3249,4401,3474,828,702,27
1016,3300,4448,3523,828,702,27
481,3535,4095,3464,828,702,26
478,3545,4139,3491,828,702,26
242,3615,4051,3482,828,702,27
712,3582,4044,3462,828,702,27
636,3627,4065,3495,828,702,28
456,3577,4153,3514,828,702,26
1457,3389,4203,3445,828,702,26
942,3368,4236,3451,828,702,26
1077,3522,4036,3428,828,702,25
199,3067,4559,3462,828,702,27
981,3657,4135,3545,828,702,27
1051,3171,4377,3423,828,702,26
349,3612,4106,3508,828,702,25
309,3140,4556,3497,828,702,27
555,3106,4686,3545,828,702,25
110,3412,4178,3444,828,702,25
1394,3140,4558,3498,828,702,26
452,3223,4419,3470,828,702,26
1049,3489,4299,3543,828,702,25
1281,3058,4552,3454,828,702,26
435,3478,4214,3495,828,702,28
290,3560,4112,3485,828,702,26
1249,3070,4584,3476,828,702,26
178,3553,4139,3495,828,702,26
750,3581,4111,3495,828,702,27
296,3093,4513,3452,828,702,27
70,3399,4213,3455,828,702,27
938,3443,4259,3500,828,702,25
876,3220,4404,3461,828,702,27
924,3100,4484,3441,828,702,26
589,3489,4261,3524,828,702,27
266,3477,4183,3479,828,702,27
703,3138,4612,3524,828,702,28
1315,3456,4318,3536,828,702,27
860,3116,4546,3480,828,702,27
504,3296,4444,3519,828,702,28
92,3461,4243,3501,828,702,26
892,3559,4259,3558,828,702,26
505,3545,4093,3468,828,702,27
1306,3432,4230,3480,828,702,27
571,3613,4081,3496,828,702,27
1437,3588,4018,3452,828,702,26
1408,3152,4508,3479,828,702,26
1233,3612,4260,3585,828,702,28
695,3303,4429,3515,828,702,28
850,3228,4442,3484,828,702,27
513,3229,4401,3464,828,702,27
917,3443,4159,3450,828,702,24
1031,3686,4074,3529,828,702,26
1418,3463,4225,3493,828,702,27
1157,3464,4234,3498,828,702,27
195,3567,4041,3453,828,702,26
464,3577,4147,3511,828,702,26
233,3082,4576,3478,828,702,27
